time(s),speed(m/s),grade
0,27.5331936,-0.0285991039881
1,28.252928,-0.0288475516474
2,28.9190176,-0.0290699127222
3,29.5448736,-0.0292416767737
4,30.354016,-0.0278497297935
5,30.8859936,-0.0238962703252
6,31.51632,-0.0175203000028
7,31.918656,-0.0103441376872
8,32.097472,-0.00339591683426
9,32.2718176,0.00135637140272
10,32.2718176,0.00388689556685
11,31.918656,0.00455140494896
12,31.426912,0.00478925906538
13,31.203392,0.00521338099693
14,31.1095136,0.00664842218774
15,31.1095136,0.00911338929175
16,31.203392,0.0113802250072
17,31.1095136,0.013285468898
18,30.8859936,0.015063362903
19,30.7071776,0.0162982914873
20,30.6624736,0.0169322113557
21,30.7071776,0.0170051162345
22,30.62224,0.0167216848934
23,30.532832,0.0164511689926
24,30.4389536,0.0165539785379
25,30.2601376,0.0171148488451
26,29.9919136,0.0186471850002
27,29.5895776,0.0213479406178
28,29.191712,0.0243111589306
29,29.0576,0.0266348275638
30,28.968192,0.0281345358897
31,28.968192,0.0286029509117
32,28.968192,0.0285018361419
33,28.8743136,0.028190260723
34,28.6954976,0.027986048337
35,28.5166816,0.0277337777338
36,28.38704,0.0274780058673
37,28.4272736,0.0273133531037
38,28.4272736,0.027517957839
39,28.38704,0.0275650582137
40,28.38704,0.0277278535831
41,28.476448,0.0280413152353
42,28.565856,0.0284677955922
43,28.6954976,0.0287498294986
44,28.744672,0.028653585112
45,28.789376,0.0284830087853
46,28.83408,0.0282431640836
47,28.8743136,0.0275334191834
48,28.9190176,0.0264554044698
49,28.9190176,0.0247177357848
50,29.012896,0.0221309600845
51,29.1425376,0.0190370178219
52,29.3213536,0.0150976578924
53,29.415232,0.0111115808495
54,29.3213536,0.00749376688338
55,29.3660576,0.00414669657721
56,29.4928798847,0.000762234674396
57,29.6593971506,-0.00327403835557
58,29.862272,-0.00744913269115
59,30.085792,-0.0110521058769
60,30.2601376,-0.0136843139823
61,30.354016,-0.0152109674947
62,30.532832,-0.0158062425842
63,30.756352,-0.0159105323913
64,31.024576,-0.016030463202
65,31.2928,-0.0161157574658
66,31.3777376,-0.0161198481895
67,31.5565536,-0.0161318359069
68,31.873952,-0.0163456357267
69,32.142176,-0.0168886888236
70,32.2718176,-0.0168302130495
71,32.2271136,-0.0158736574341
72,31.73984,-0.0155111354698
73,31.248096,-0.015695628099
74,30.801056,-0.0157771145682
75,29.95168,-0.0155799466961
76,28.61056,-0.015566516244
77,27.358848,-0.0158076064977
78,26.017728,-0.0160680191546
79,24.766016,-0.0163295173637
80,23.7333536,-0.0164916910058
81,22.664928,-0.0165975675387
82,22.1687136,-0.0166213941967
83,21.770848,-0.0166126096428
84,21.0511136,-0.0165938252795
85,20.519136,-0.0165758957073
86,20.206208,-0.0164271847271
87,19.759168,-0.0161152659375
88,19.312128,-0.0158560664846
89,18.283936,-0.0156150364727
90,17.3406816,-0.015451931458
91,16.853408,-0.0153276185048
92,16.406368,-0.015162306781
93,16.1336736,-0.0149501452841
94,16.048736,-0.0146483021785
95,15.86992,-0.0142026939025
96,15.4631136,-0.0136466745944
97,15.1054816,-0.0129597671171
98,14.8819616,-0.0119867021655
99,13.9878816,-0.0106915716499
100,12.606528,-0.0094398202265
101,11.3056416,-0.00800358640323
102,10.4115616,-0.00681500176922
103,9.5174816,-0.00510797838023
104,9.0704416,-0.00377573763469
105,8.71728,-0.00288064856928
106,8.3998816,-0.00154229031459
107,8.091424,-0.00021702861404
108,7.242048,0.000656691935603
109,6.81564886973,0.00194514655356
110,7.3269856,0.00278525328781
111,8.6234016,0.00360596236768
112,9.28453234666,0.00478774726194
113,9.253728,0.00589058937609
114,8.985504,0.00689297264999
115,9.0198777033,0.00777219623553
116,9.2939616,0.00851282546536
117,9.59613025898,0.00911416213038
118,9.7857056,0.00970567282577
119,9.83488,0.00998769121381
120,9.879584,0.0101189124884
121,9.5621856,0.0100896324684
122,9.253728,0.00992192443166
123,9.030208,0.00966141885355
124,8.985504,0.00934590191555
125,8.6681056,0.00899949285973
126,8.136128,0.00863884088175
127,7.37616,0.00829620509873
128,6.973824,0.00807024039772
129,6.7056,0.00775070199341
130,6.48208,0.00755926988989
131,6.25856,0.00739262972795
132,5.81152,0.00726222049299
133,5.2258976,0.00717617913597
134,4.7788576,0.0071356982008
135,4.3318176,0.00713256311972
136,3.621024,0.00716062565456
137,3.084576,0.00719347561278
138,2.414016,0.00723866829442
139,1.8730976,0.00723866829442
140,1.6942816,0.00729608882069
141,1.6942816,0.00729608882069
142,2.0519136,0.00736549132249
143,2.414016,0.00744650908359
144,2.9906976,0.00753842301723
145,4.02336,0.00764034347897
146,5.14096,0.00775105096557
147,5.856224,0.00799323129212
148,5.9858656,0.00825303020318
149,5.98693425028,0.00851987730838
150,5.9858656,0.00878441096142
151,5.8964576,0.00916426708046
152,5.588,0.00928532264214
153,5.632704,0.00951826975922
154,5.498592,0.00973702786289
155,4.962144,0.00994012036146
156,4.7788576,0.0101267662907
157,5.0023776,0.0102141947183
158,4.8682656,0.0103794920755
159,5.05750837334,0.0105389632356
160,5.36448,0.0106184903246
161,5.5388256,0.0107740173837
162,6.2093856,0.0109128814351
163,7.063232,0.0110742347374
164,7.9975456,0.0111503354424
165,8.761984,0.011227337545
166,9.0704416,0.0112779668609
167,9.35774423083,0.011289296761
168,9.432544,0.0112433761316
169,9.16432,0.0111819393454
170,9.16432,0.0111181490433
171,9.030208,0.0110474994785
172,8.8469216,0.0109754279372
173,8.806688,0.0108867487742
174,8.6234016,0.0108052999394
175,8.314944,0.010770174566
176,7.9975456,0.0107918423311
177,7.9975456,0.0108868029572
178,8.359648,0.0110500726384
179,8.538464,0.0112624739431
180,8.985504,0.0114623981272
181,9.656064,0.0116258516214
182,9.9645216,0.0117860119715
183,10.147808,0.0118625173218
184,10.1880416,0.01189932853
