time(s),speed(m/s),grade
0,5.81152,-0.0115760997058
1,5.856224,-0.0115704458115
2,5.8964576,-0.0115669315672
3,5.945632,-0.0115728561307
4,5.81152,-0.0115858360151
5,5.275072,-0.0116022362505
6,4.291584,-0.0116103315487
7,3.263392,-0.0116237145662
8,3.02449839247,-0.0116283466188
9,3.621024,-0.0116316966968
10,4.828032,-0.0116340925645
11,6.1199776,-0.0116381410511
12,6.973824,-0.0116435726767
13,8.359648,-0.0116575976784
14,8.806688,-0.0116876085666
15,8.985504,-0.011716066956
16,9.700768,-0.0117759843127
17,10.2327456,-0.0118200330901
18,10.773664,-0.0118722892539
19,11.84656,-0.0119467156687
20,12.8702816,-0.0120035873609
21,13.902944,-0.0120046346678
22,14.841728,-0.0119723129595
23,15.6464,-0.0119554081201
24,16.3571936,-0.0119434106473
25,16.764,-0.0119581011775
26,17.166336,-0.0120414791903
27,17.5642016,-0.0121961371516
28,17.7877216,-0.0122890615084
29,17.747488,-0.0121638847327
30,17.3406816,-0.0115572769347
31,16.495776,-0.01052804577
32,15.6866336,-0.00858919587874
33,15.19936,-0.00631548199924
34,14.4349216,-0.00351935641398
35,12.338304,-0.00110196957959
36,10.147808,0.00134371062098
37,8.091424,0.00310175914396
38,6.6564256,0.0042048766882
39,5.81626274674,0.00525283052724
40,5.945632,0.00625388172375
41,6.92912,0.00722098610037
42,7.9528416,0.00862908535094
43,11.667744,0.010557958108
44,12.159488,0.0126528763629
45,12.2051711903,0.0154716954214
46,12.4232416,0.0177823578524
47,12.4232416,0.0200578759998
48,12.9149856,0.0221810892088
49,13.5855456,0.0240957371606
50,14.4349216,0.0260907695388
51,15.065248,0.0276114364665
52,15.4631136,0.0289951233657
53,15.4631136,0.0298210661116
54,14.6584416,0.0303906317972
55,13.053568,0.0307100978898
56,12.1955924002,0.0308121634654
57,12.338304,0.0308422807118
58,13.18768,0.0308075002849
59,14.171168,0.0306163884871
60,15.1054816,0.0302785509644
61,15.9995616,0.0298050037412
62,16.853408,0.0291476295483
63,17.523968,0.0279191969425
64,18.32864,0.0260767438226
65,19.088608,0.0233194526371
66,19.9335136,0.0209287262998
67,20.8275936,0.0186061424662
68,21.5875616,0.0168837396219
69,22.083776,0.0157370546603
70,22.57552,0.0152484018329
71,23.201376,0.0155958891324
72,23.782528,0.0167946847066
73,24.229568,0.0176792153423
74,24.4039136,0.0175896005734
75,24.4933216,0.0171318950393
76,24.5872,0.0167695841885
77,24.453088,0.0163692615091
78,24.1803936,0.0159939146925
79,24.0462816,0.016031760734
80,23.91664,0.0167177849399
81,23.7333536,0.01764783299
82,23.4696,0.0182740831231
