time(s),speed(m/s),grade
0,6.850575072,-0.00673093860338
1,7.733479072,-0.00673093860338
2,8.490720128,0.00303979889255
3,9.244071936,0.00484959757013
4,9.976681088,0.0113594373164
5,10.596323232,0.0165937784281
6,11.048504192,0.0193819980965
7,11.530681536,0.0183338340759
8,12.029801696,0.0157394942011
9,12.09891408,0.0130127382864
10,11.556162816,0.0070513538507
11,10.630477088,0.00565552943771
12,9.34581824,-0.000367011183008
13,7.796958752,-0.00517314775957
14,6.196913184,-0.00679348734883
15,4.535846656,-0.00679348734883
16,2.91783008,-0.0132254552726
17,1.628387904,-0.0132254552726
18,0.912095712,-0.0132254552726
19,0.898192768,-0.0132254552726
20,1.406790176,-0.0132254552726
21,2.200599104,-0.0132254552726
22,3.039782592,-0.0162005596079
23,4.103558976,-0.0202124325852
24,5.288974944,-0.0202124325852
25,6.40764784,-0.0263479270614
26,7.484209568,-0.0263479270614
27,8.50873584,-0.0325632701184
28,9.4057216,-0.0360454225253
29,10.463909984,-0.0402777199927
30,11.467604192,-0.0409327868479
31,12.414658432,-0.0407709750431
32,13.356571712,-0.037668408427
33,14.249578816,-0.0310854861099
34,14.955365568,-0.0185385753988
35,15.639381472,-0.0103421836346
36,16.246014752,-0.00392634721436
37,16.698776864,0.00274805139099
38,17.040226016,0.0059820249349
39,17.292222464,0.00808122374773
40,17.438225728,0.00940424699289
41,17.513328448,0.00867782161348
42,17.486729568,0.00735923542318
43,17.50698048,0.00471619924716
44,17.583781952,0.00282700271813
45,17.654548384,0.000220653306867
46,17.52687376,-0.00353759047213
47,17.12722,-0.00522769248464
48,16.695513472,-0.00743388281063
49,16.215660736,-0.00939960922411
50,15.631781792,-0.0127218974636
51,14.925235072,-0.0145851074195
52,14.06410192,-0.0173725821799
53,13.265509664,-0.0183181816538
54,12.391322944,-0.0185647900389
55,11.532469696,-0.0186727646254
56,10.665659136,-0.0184745543311
57,9.845519552,-0.0180430243148
58,9.051531808,-0.0180718511158
59,8.1238344,-0.018418984402
60,7.1202296,-0.0189369976549
61,6.076570016,-0.0197092709063
62,5.034162144,-0.0197092709063
63,3.967390592,-0.0216914355549
64,2.913404384,-0.0216914355549
65,2.306368768,-0.0222122408847
66,1.635227616,-0.0222122408847
67,1.199274208,-0.0222122408847
68,1.187472352,-0.0222122408847
69,1.572552608,-0.0222122408847
70,2.233501248,-0.0222122408847
71,2.941836128,-0.0237864600223
72,3.72630192,-0.0237864600223
73,4.58126592,-0.0253685730953
74,5.352678144,-0.0265354052339
75,6.025830976,-0.0286604124527
76,6.40451856,-0.0286604124527
77,6.444171008,-0.0319459294539
78,6.14434128,-0.0343973553298
79,5.499351968,-0.0343973553298
80,4.504240928,-0.0343973553298
81,3.215156384,-0.035965941247
82,1.962997344,-0.035965941247
83,0.995692192,-0.035965941247
84,0.43005248,-0.035965941247
85,0.1753156768,-0.035965941247
86,0.0780174208,-0.035965941247
87,0.0491386368,-0.035965941247
88,0.01876986848,-0.035965941247
89,0.01822090336,-0.035965941247
90,0.01248538016,-0.035965941247
91,0.0241088672,-0.035965941247
92,0.02854886848,-0.035965941247
93,0.0716873344,-0.035965941247
94,0.45285152,-0.035965941247
95,1.211791328,-0.035965941247
96,2.131620832,-0.035965941247
97,2.963696384,-0.0382693745872
98,3.709806144,-0.0398755228378
99,4.519708512,-0.0398755228378
100,5.503196512,-0.0426293470822
101,6.61932128,-0.0446885820961
102,7.788822624,-0.0501814008591
103,8.906914368,-0.0501814008591
104,10.002609408,-0.0545428888247
105,10.686357088,-0.0575811498668
106,10.91716384,-0.0618112888169
107,10.845056288,-0.0622223621921
108,10.392025952,-0.0622930567739
109,9.630493312,-0.0623115148334
110,8.820188608,-0.0618268358448
