time(s),speed(m/s),grade
0,6.079744,0.0347867755476
1,6.6564256,0.033078167715
2,7.7740256,0.0308314495944
3,8.314944,0.0290625595387
4,8.761984,0.0278821819292
5,9.5621856,0.02740096299
6,10.147808,0.0280380251369
7,10.997184,0.0303763858219
8,11.7526816,0.0342174719092
9,12.383008,0.0410780206869
10,12.561824,0.0440975523685
11,12.9149856,0.0392263119445
12,13.277088,0.0287093988126
13,13.455904,0.0154906161782
14,13.5408416,-0.00060446063728
15,13.5855456,-0.0134135946483
16,13.8090656,-0.0202082790618
17,13.85824,-0.0233632404556
18,13.8374282154,-0.0212206650622
19,14.0325856,-0.0168487400819
20,14.5690336,-0.0133450991282
21,15.065248,-0.0119234453653
22,15.4631136,-0.0106520430164
23,15.601696,-0.00833057627331
24,15.86992,-0.00436292337542
25,16.182848,0.0037323338461
26,16.3571936,0.0106607970826
27,16.31696,0.0164782894963
28,16.2230816,0.0180349485371
29,16.182848,0.0136710022296
30,16.272256,0.00610981971165
31,16.1336736,-0.00331535630932
32,16.272256,-0.0112701218385
33,15.959328,-0.0168334045477
34,16.1603018922,-0.0211541690775
35,16.6701216,-0.0251019714322
36,17.0277536,-0.0265705939
37,17.4899520089,-0.0262779302949
38,18.0637106283,-0.0242580259048
39,18.641568,-0.0191132130026
40,19.178016,-0.0128963667097
41,19.759168,-0.00695813668282
42,20.1462614189,-0.00805003803003
43,20.2960941646,-0.0168769875366
44,20.2434022281,-0.0321545661928
45,20.0229216,-0.0470764367804
46,19.7099936,-0.0575880125871
47,19.4864736,-0.0511103677993
48,19.3705006333,-0.0421930759812
49,19.401536,-0.0381625860539
50,19.401536,-0.0332080570223
51,18.77568,-0.0235457969218
52,18.507456,-0.0119452289318
53,18.6818016,-0.00521623888101
54,18.641568,-0.00168326156238
55,18.77568,8.13936959484e-05
56,18.954496,0.0014752189476
57,19.1088419939,0.00472367284327
58,19.2337728767,0.0120090410946
59,19.3213173226,0.0208997871421
60,19.3635040057,0.0310454914891
61,19.3523616,0.0418036485936
62,19.2955124524,0.0455369916596
63,19.2629536,0.0426151973585
64,19.22272,0.0330909113374
65,18.8557937251,0.020324667954
66,18.4582816,0.00964467469632
67,18.4012937744,-0.00241509377053
68,18.6232731931,-0.0121235546757
69,18.954496,-0.0187493863671
70,19.2589200195,-0.0235190952913
71,19.5352298001,-0.025840558656
72,19.8157915709,-0.0269899740552
73,20.1329715611,-0.0248566429441
74,20.519136,-0.0208743024772
75,20.9170016,-0.015441809825
76,21.1405216,-0.00919188372786
77,21.547328,-0.00174591978631
78,21.770848,0.00448208828541
79,21.8735458215,0.00920153924499
80,21.92805926,0.0124587955735
81,21.9620692564,0.0123897777253
82,22.0032567513,0.00884594558426
83,22.0793026856,0.0023416779159
84,22.217888,-0.00688029245509
85,22.3922336,-0.0159309554575
86,22.4577808651,-0.0261440434933
87,22.6157536,-0.0331728295135
88,22.977856,-0.0375351438684
89,23.111968,-0.0369903210191
90,23.201376,-0.0338780781193
91,23.335488,-0.0304862619066
92,23.335488,-0.0272863835502
93,23.3757216,-0.023167129
94,23.1522016,-0.0168666538108
95,23.02256,-0.00936452440379
96,22.888448,-0.0026853826365
97,22.79904,0.00180101681937
98,22.441408,0.00341725546502
99,22.12848,0.00155151512482
100,21.994368,-0.00402505111908
101,21.90496,-0.0118713473699
102,21.413216,-0.0201421162357
103,20.9656042587,-0.0279013142176
104,20.6995419862,-0.0352826437425
105,20.6003247206,-0.0411855461551
106,20.653248,-0.0461698723305
107,20.78736,-0.0503055018739
108,20.7999955162,-0.0541404199451
109,20.8053462571,-0.056665387129
110,21.01088,-0.0586033691477
111,21.4981536,-0.0594634856175
112,21.9340539882,-0.0593322565619
113,22.2154522307,-0.0583369576485
114,22.3281931578,-0.0562548890487
115,22.2581216,-0.0534417598067
116,22.12848,-0.0492085689035
117,22.3922336,-0.0439866760902
118,22.79904,-0.0385667574966
119,23.0884308569,-0.0313801436252
120,23.2574244665,-0.0231320011207
121,23.3577194476,-0.0141804060806
122,23.4410144192,-0.00579881613679
123,23.559008,-0.000155878962464
124,23.5992416,0.0043768765992
125,23.1522016,0.0087923754434
126,22.8538850218,0.0139439483188
127,22.7853531775,0.0198294068203
128,22.79904,0.0262387309016
129,22.664928,0.0311470615188
130,22.083776,0.0344114152127
131,21.636736,0.0344381998243
132,21.68144,0.03198540135
133,21.8721685598,0.0279078267008
134,21.860256,0.022993638981
135,21.5875616,0.019082141544
136,21.7100565018,0.0181755365926
137,21.994368,0.0214105616004
138,21.994368,0.0273708141114
139,21.68144,0.0357642001781
140,21.4823515129,0.0423623170394
141,21.4153161556,0.0460913608702
142,21.3640416,0.0475025917324
143,21.2344,0.0481884451722
144,21.0324235102,0.0486368250319
145,20.8323170612,0.0480881047343
146,20.719787657,0.0436567469095
147,20.7805423019,0.0368001221824
148,21.100288,0.0262253430976
149,21.6616093839,0.0136781707776
150,22.0346016,0.00346753954083
151,21.9451936,-0.00324338033103
152,21.9451936,-0.00596878741781
153,22.0492557036,-0.00500900276612
154,22.2367744857,-0.000543978264935
155,22.530816,0.00742451590124
156,22.79904,0.0146849866722
157,22.7051616,0.0221712235089
158,22.9286816,0.0269375277738
159,22.8457578562,0.0280473772358
160,22.441408,0.0258959320174
161,22.083776,0.020167279125
162,22.1687136,0.0114424823666
163,21.994368,0.00187907148731
164,21.8110816,-0.00840041140954
165,21.636736,-0.0186581818777
166,21.5875616,-0.0291331718424
167,21.4462315851,-0.035396242686
168,21.189696,-0.037244687704
169,20.78736,-0.0346621414738
170,20.1570336,-0.0288983257492
171,19.848576,-0.0224702350932
172,19.22272,-0.0154348569291
173,18.5923936,-0.00723393596043
174,17.43456,-0.000683466753471
175,16.1336736,0.0042035207768
176,14.97584,0.00841787362388
177,11.39952,0.0112312881235
178,9.209024,0.0135117548417
179,8.5631360726,0.0144517951066
180,9.0704416,0.0156230329386
181,10.28192,0.016773849467
182,11.1268256,0.0173846070975
183,12.1997216,0.01796089391
184,13.0938016,0.018358106487
185,13.947648,0.0187629568149
186,14.6584416,0.0192183826087
187,15.1054816,0.0196637795903
188,15.735808,0.0203867626464
189,16.2230816,0.020834360386
190,16.942816,0.0209150280274
191,17.300448,0.0205191978126
192,17.7877216,0.0199167828815
193,18.1453536,0.0194732113914
194,18.55216,0.0191401438934
195,18.8159136,0.01926771601
196,18.8159136,0.0198038657959
197,18.8159136,0.0206149157297
198,19.0394336,0.0215246573196
199,19.22272,0.0218529212422
200,19.2629536,0.0213054665876
201,19.22272,0.0196928468874
202,19.2629536,0.017816949757
203,19.1288416,0.0157662118678
204,19.0394336,0.0132165965295
205,18.9053216,0.0109044098558
206,19.0394336,0.0084594868083
207,19.22272,0.0055215544769
208,19.3105682362,0.0030865089211
209,19.312128,0.000490845771214
210,19.312128,-0.00151440413066
211,19.44624,-0.00381740163063
212,19.44624,-0.00597855146768
213,19.44624,-0.00835565846026
214,19.312128,-0.0112585600409
215,19.4864736,-0.0140461650337
216,19.89328,-0.0158975129127
217,19.982688,-0.016734147665
218,20.34032,-0.0156097275317
219,20.653248,-0.0119291355761
220,20.8275936,-0.00643298326317
221,20.653248,-0.00171128414019
222,20.6040736,0.00207795185104
223,20.6925304489,0.00255414198426
224,20.8446347622,-0.000781993817036
225,21.01088,-0.00777131531678
226,21.189696,-0.0169903882985
227,21.45792,-0.0265475441733
228,21.636736,-0.033940064831
229,21.90496,-0.0370302933827
230,22.083776,-0.0362788428998
231,22.0346016,-0.0347295940577
232,22.1687136,-0.0351388845532
233,22.57552,-0.0374944063005
234,22.6157536,-0.0410497531681
235,22.7922914813,-0.0424448320012
236,23.0958651707,-0.0392737586166
237,23.2863136,-0.0304731118942
238,23.24608,-0.0186721980272
239,23.24608,-0.00682254773661
240,23.24608,0.00285993306499
241,23.1522016,0.0103126952717
242,23.201376,0.0150950977309
243,23.0627936,0.0183691420562
244,23.1131687129,0.0193171021174
245,23.24608,0.0181649315707
246,23.24608,0.0147791720548
247,23.1996883531,0.0109923224181
248,23.1446130032,0.00829949567793
249,23.0854143016,0.00807972711488
250,23.0266525996,0.0110112086669
251,22.9728882486,0.017036032719
252,22.9286816,0.0239952795754
253,22.8392736,0.0329763876539
254,22.57552,0.0412038895396
255,22.352,0.0505985059884
256,21.860256,0.0578533025406
257,21.547328,0.063023363698
258,21.189696,0.064237787553
259,20.295616,0.0623646942869
260,19.22272,0.0583444556645
261,17.836896,0.0508457155511
262,14.5288,0.0436252123345
263,13.232384,0.0352175018766
264,13.0882003627,0.0286102095051
265,13.5408416,0.0216437798786
266,14.2114016,0.0173702041535
267,14.2114016,0.0133824076129
268,14.931136,0.0106967964765
269,15.1054816,0.00905199276521
270,15.4631136,0.00807503747218
271,16.048736,0.0075059559874
272,16.719296,0.0071434613508
273,17.3406816,0.00678660006213
274,17.4747936,0.0064678595067
275,17.836896,0.00630857281788
276,18.194528,0.0063830561721
277,18.507456,0.00682370258306
278,18.954496,0.0078215768656
279,18.954496,0.00897912368231
280,19.312128,0.0102614350861
281,19.312128,0.0118609859053
282,19.535648,0.0131409519341
283,19.7099936,0.0141970586323
284,19.535648,0.0136098312051
