VSP_group,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,,,,,,,,,,,,,1.038144372,1987.350415
-9000,-14924.83722,-14408.43901,-13891.51475,-13374.06127,-12856.07534,-12337.55372,-11818.49312,-11298.89023,-10778.74172,-10258.04422,-9736.794302,-9214.988544,1.038144372,1987.350415
-6000,-9745.913612,-9225.362644,-8704.264061,-8182.614351,-7660.409967,-7137.647327,-6614.322813,-6090.432772,-5565.973516,-5040.941319,-4515.332416,-3989.143009,1.046674603,1921.644823
-3000,-4084.276263,-3559.050414,-3033.256427,-2506.890517,-1979.94886,-1452.427594,-924.3228189,-395.6305931,133.6530635,663.5321722,1194.010795,1725.093038,1.056237139,1867.041448
0,1040.275728,1568.901734,2098.100188,2627.874716,3158.228977,3689.166664,4220.691507,4752.807272,5285.517761,5818.826813,6352.738306,6887.256154,1.06307605,1867.807699
3000,8803.947669,9340.597627,9877.880958,10415.80233,10954.36646,11493.57813,12033.44214,12573.96337,13115.14676,13656.99728,14199.51998,14742.71994,1.079762149,1706.542439
6000,16536.48487,17081.12815,17626.47647,18172.53595,18719.31278,19266.81325,19815.0437,20364.01055,20913.7203,21464.17956,22015.39497,22567.3733,1.096505883,1547.579778
9000,24269.59412,24821.41321,25373.95665,25927.23035,26481.24033,27035.99265,27591.49345,28147.74895,28704.76545,29262.54931,29821.10699,30380.44502,1.111045138,1529.738621
12000,31915.45391,32474.51362,33034.30701,33594.83937,34156.11602,34718.14238,35280.9239,35844.46611,36408.7746,36973.85502,37539.71309,38106.3546,1.125601726,1536.898272
15000,39637.4869,40203.60011,40770.43778,41338.00426,41906.30394,42475.34126,43045.12069,43615.64676,44186.92404,44758.95715,45331.75075,45905.30954,1.139590541,1584.415861
18000,46196.35605,46767.8996,47340.16884,47913.16771,48486.90015,49061.37015,49636.58174,50212.53898,50789.24596,51366.70682,51944.92573,52523.90689,1.150451605,1601.201083
