VSP_w,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-60000,1.038144372,1987.350415,519.072186
-59000,1.038144372,1987.350415,519.072186
-58000,1.038144372,1987.350415,519.072186
-57000,1.038144372,1987.350415,519.072186
-56000,1.038144372,1987.350415,519.072186
-55000,1.038144372,1987.350415,519.072186
-54000,1.038144372,1987.350415,519.072186
-53000,1.038144372,1987.350415,519.072186
-52000,1.038144372,1987.350415,519.072186
-51000,1.038144372,1987.350415,519.072186
-50000,1.038144372,1987.350415,519.072186
-49000,1.038144372,1987.350415,519.072186
-48000,1.038144372,1987.350415,519.072186
-47000,1.038144372,1987.350415,519.072186
-46000,1.038144372,1987.350415,519.072186
-45000,1.038144372,1987.350415,519.072186
-44000,1.038144372,1987.350415,519.072186
-43000,1.038144372,1987.350415,519.072186
-42000,1.038144372,1987.350415,519.072186
-41000,1.038144372,1987.350415,519.072186
-40000,1.038144372,1987.350415,519.072186
-39000,1.038144372,1987.350415,519.072186
-38000,1.038144372,1987.350415,519.072186
-37000,1.038144372,1987.350415,519.072186
-36000,1.038144372,1987.350415,519.072186
-35000,1.038144372,1987.350415,519.072186
-34000,1.038144372,1987.350415,519.072186
-33000,1.038144372,1987.350415,519.072186
-32000,1.038144372,1987.350415,519.072186
-31000,1.038144372,1987.350415,519.072186
-30000,1.038144372,1987.350415,519.072186
-29000,1.038144372,1987.350415,519.072186
-28000,1.038144372,1987.350415,519.072186
-27000,1.038144372,1987.350415,519.072186
-26000,1.038144372,1987.350415,519.072186
-25000,1.038144372,1987.350415,519.072186
-24000,1.038144372,1987.350415,519.072186
-23000,1.038144372,1987.350415,519.072186
-22000,1.038144372,1987.350415,519.072186
-21000,1.038144372,1987.350415,519.072186
-20000,1.038144372,1987.350415,519.072186
-19000,1.038144372,1987.350415,519.072186
-18000,1.038144372,1987.350415,519.072186
-17000,1.038144372,1987.350415,519.072186
-16000,1.038144372,1987.350415,519.072186
-15000,1.038144372,1987.350415,519.072186
-14000,1.038144372,1987.350415,519.072186
-11000,1.038144372,1987.350415,519.072186
-12000,1.038144372,1987.350415,519.072186
-13000,1.038144372,1987.350415,519.072186
-8000,1.038144372,1987.350415,519.072186
-9000,1.038144372,1987.350415,519.072186
-10000,1.038144372,1987.350415,519.072186
-5000,1.046674603,1921.644823,523.3373015
-6000,1.046674603,1921.644823,523.3373015
-7000,1.046674603,1921.644823,523.3373015
-2000,1.056237139,1867.041448,528.1185695
-3000,1.056237139,1867.041448,528.1185695
-4000,1.056237139,1867.041448,528.1185695
1000,1.06307605,1867.807699,531.538025
0,1.06307605,1867.807699,531.538025
-1000,1.06307605,1867.807699,531.538025
4000,1.079762149,1706.542439,539.8810745
3000,1.079762149,1706.542439,539.8810745
2000,1.079762149,1706.542439,539.8810745
7000,1.096505883,1547.579778,548.2529415
6000,1.096505883,1547.579778,548.2529415
5000,1.096505883,1547.579778,548.2529415
10000,1.111045138,1529.738621,555.522569
9000,1.111045138,1529.738621,555.522569
8000,1.111045138,1529.738621,555.522569
13000,1.125601726,1536.898272,562.800863
12000,1.125601726,1536.898272,562.800863
11000,1.125601726,1536.898272,562.800863
16000,1.139590541,1584.415861,569.7952705
15000,1.139590541,1584.415861,569.7952705
14000,1.139590541,1584.415861,569.7952705
19000,1.150451605,1601.201083,575.2258025
18000,1.150451605,1601.201083,575.2258025
17000,1.150451605,1601.201083,575.2258025
20000,1.150451605,1601.201083,575.2258025
21000,1.150451605,1601.201083,575.2258025
22000,1.150451605,1601.201083,575.2258025
23000,1.150451605,1601.201083,575.2258025
24000,1.150451605,1601.201083,575.2258025
25000,1.150451605,1601.201083,575.2258025
26000,1.150451605,1601.201083,575.2258025
27000,1.150451605,1601.201083,575.2258025
28000,1.150451605,1601.201083,575.2258025
29000,1.150451605,1601.201083,575.2258025
30000,1.150451605,1601.201083,575.2258025
31000,1.150451605,1601.201083,575.2258025
32000,1.150451605,1601.201083,575.2258025
33000,1.150451605,1601.201083,575.2258025
34000,1.150451605,1601.201083,575.2258025
35000,1.150451605,1601.201083,575.2258025
36000,1.150451605,1601.201083,575.2258025
37000,1.150451605,1601.201083,575.2258025
38000,1.150451605,1601.201083,575.2258025
39000,1.150451605,1601.201083,575.2258025
40000,1.150451605,1601.201083,575.2258025
41000,1.150451605,1601.201083,575.2258025
42000,1.150451605,1601.201083,575.2258025
43000,1.150451605,1601.201083,575.2258025
44000,1.150451605,1601.201083,575.2258025
45000,1.150451605,1601.201083,575.2258025
46000,1.150451605,1601.201083,575.2258025
47000,1.150451605,1601.201083,575.2258025
48000,1.150451605,1601.201083,575.2258025
49000,1.150451605,1601.201083,575.2258025
50000,1.150451605,1601.201083,575.2258025
51000,1.150451605,1601.201083,575.2258025
52000,1.150451605,1601.201083,575.2258025
53000,1.150451605,1601.201083,575.2258025
54000,1.150451605,1601.201083,575.2258025
55000,1.150451605,1601.201083,575.2258025
56000,1.150451605,1601.201083,575.2258025
57000,1.150451605,1601.201083,575.2258025
58000,1.150451605,1601.201083,575.2258025
59000,1.150451605,1601.201083,575.2258025
60000,1.150451605,1601.201083,575.2258025
