VSP_group,eng_on,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,0,-16167.23601,-15658.39312,-15148.08101,-14644.56564,-14132.7475,-13661.70303,-13190.00734,-12675.99071,-12160.95071,-11646.14751,-11130.9935,-10615.07029,1.00415381,295.5797464
-12000,0,1,529.336162,1059.442802,1590.184258,2121.403204,2652.523792,3188.283039,3722.345666,4256.118611,4791.439556,5327.517663,5864.3599,6401.973322,1.067829548,1461.343411
-9000,0,0,-13136.19184,-12624.18844,-12173.99738,-11708.56492,-11203.09656,-10661.79516,-10124.05709,-9672.26515,-9127.393414,-8609.2435,-8089.906561,-7569.695693,1.01419134,166.9351496
-9000,0,1,528.8876684,1058.518712,1588.646632,2119.482945,2650.828502,3184.374295,3716.897635,4249.348185,4783.713081,5318.853648,5854.741288,6391.382695,1.065833082,1624.787288
-12000,1,1,,,,,,,,,,,,,0.598350349,7.657621935
-9000,1,1,-55.6373825,470.8726064,993.111828,1547.220786,1695.11081,2178.415503,2704.553534,2455.042135,2819.785582,3336.923419,3894.587448,2596.656185,0.598350349,7.657621935
-6000,0,0,-8670.746158,-8153.012589,-7596.894267,-7067.328181,-6546.762936,-6014.858729,-5484.665879,-5042.224008,-4446.561441,-3928.169776,-3402.42505,-2875.549124,1.051266923,265.6387342
-6000,0,1,529.0777286,1058.927297,1589.419116,2120.545017,2652.529832,3185.744519,3718.988073,4250.374075,4784.372774,5319.622101,5855.627572,6392.396463,1.065903108,1770.201891
-12000,1,0,,,,,,,,,,,,,-0.438623959,-1.349592017
-9000,1,0,,,,,,,,,,,,,-0.438623959,-1.349592017
-6000,1,0,-2929.819534,-2505.004862,-2078.709915,-1651.210114,-7369.347551,-6706.152558,-7212.659388,-5900.281106,-5449.742635,-5147.863007,-4414.106703,-3744.843876,-0.438623959,-1.349592017
-6000,1,1,169.1095624,473.0846494,1168.272912,1682.86263,1509.662919,1910.251747,3012.333846,2985.372365,1935.426489,2380.363405,2366.281129,1997.404364,0.3666201,3.596820521
-3000,0,0,-3966.392694,-3440.449506,-2908.246885,-2401.807241,-1882.736793,-1348.95074,-815.0522626,-301.3587884,197.8311314,730.3235337,1263.172575,1797.292394,1.045310154,613.0906012
-3000,0,1,518.2163074,1047.608152,1576.890469,2106.974611,2638.414637,3170.845147,3703.576361,4236.569228,4770.101624,5301.960247,5838.412703,6376.273186,1.064854441,1604.03411
-3000,1,0,-1640.50982,-660.9223548,-1193.562053,-984.2241954,-2563.199589,-2283.179079,-1790.828475,-3796.118218,-3398.247985,-2957.37775,694.7104718,1217.200342,0.111973938,0.419179817
-3000,1,1,-989.1209837,-598.376701,-129.4613817,252.4872597,931.9526251,1374.29114,1773.965212,2203.700123,2663.041302,3045.993989,2824.762825,2824.131301,0.777971365,14.3142062
0,0,0,-635.3274389,-105.0352118,426.1675829,959.5523856,1479.196145,2013.596153,2557.28079,3089.611367,3625.604687,4162.631496,4700.731796,5240.000315,1.068118514,839.2152819
0,0,1,1146.789053,1678.113443,2207.776038,2739.509566,3271.941768,3805.469354,4340.806222,4876.444441,5413.140451,5949.810193,6487.974657,7027.197378,1.069122244,1185.438509
0,1,0,-1369.684668,-4721.892481,-5068.846514,-6322.172042,-26011.36818,-26876.37898,-25753.69814,-19339.98437,-16067.0237,-20845.19261,2885.491343,2401.493559,-0.196310726,-0.098206756
0,1,1,-2298.29324,-1777.222439,-1533.205936,-1229.228749,-1115.076005,-947.6004647,-711.6186824,-692.1853797,-486.1822771,-596.068563,-45.1375307,48.74547326,0.371930333,13.24023126
3000,0,1,7265.48638,7805.573602,8343.416924,8884.854413,9427.725545,9971.630689,10516.0185,11063.36097,11609.70413,12158.25347,12708.00632,13258.95728,1.089716594,911.3793328
3000,1,0,-33297.3621,-33028.9346,-32683.70841,-32333.93715,-31973.70239,-31603.08094,-31248.64258,-30882.21109,-30514.76063,-23907.0704,-29787.8774,-29423.08578,1.020614093,3.384271434
3000,1,1,385.2036944,469.8705207,554.5170094,602.0388938,637.5843687,614.9953361,555.5842789,744.1131396,720.87221,836.0915722,851.1853173,862.0509194,0.080437178,9.286491503
6000,0,1,14013.75323,14566.49195,15119.23447,15672.9312,16227.95342,16783.69104,17339.49588,17896.81801,18456.70096,19017.20928,19579.10913,20142.40186,1.113956369,1027.317484
6000,1,0,-36525.46735,-36162.79894,-35802.3796,-35440.53129,-35064.25275,-34687.21853,-34326.98525,-33953.8386,-33575.02482,-33201.59371,-32838.80027,-32481.05372,0.738664667,558.9834319
6000,1,1,801.2336951,847.5514505,862.3110827,875.0130003,915.1571944,970.1543468,1055.462697,1063.357732,1129.220405,1177.246553,1160.907875,1234.036954,0.081024748,19.96555238
9000,0,1,20348.07359,20910.68916,21473.03663,22036.45824,22601.29316,23166.44404,23732.28437,24299.41591,24867.46498,25437.75507,26009.61982,26583.93183,1.133238377,1036.460925
