VSP_group,fc_on,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,1,0,-10004.92987,-10124.64345,-10515.78386,-10658.54599,-10755.75903,-10851.92369,-10956.755,-10949.23735,-10851.39976,-10683.21715,-10474.37171,-10345.91242,-0.067971543,-1.345172943
-12000,1,1,27059.75632,27569.12357,28082.808,28632.95868,29195.49914,16290.53394,16643.57988,16994.06256,17341.2847,17686.26678,18071.19069,11153.66977,-2.978557834,-5.041542485
-9000,1,0,-10127.05771,-10255.58168,-10376.99145,-10448.66853,-10502.51947,-10506.57993,-10470.05855,-10402.68252,-10337.26978,-10252.68862,-10130.28844,-9978.359605,0.031653596,1.130730602
-9000,1,1,18651.38634,19180.00801,19717.49898,20288.70445,20869.67478,21453.43637,22040.39753,22628.59282,23219.00427,23812.04778,24407.80672,25006.31641,1.161758567,200.737525
-6000,1,0,-9397.337362,-9343.507876,-9239.971498,-9048.003905,-8797.840144,-8523.753429,-8194.037831,-7852.328035,-7486.04578,-7122.590341,-6768.037253,-6366.046931,0.575672315,18.23481434
-6000,1,1,-2600.317817,-2104.202921,-1602.920327,-1091.636892,-575.7454525,-56.74343524,465.2233995,990.050416,1517.62326,2047.791343,2580.389081,3115.233857,1.040930303,298.7724153
-3000,1,0,-5361.407834,-4930.234494,-4439.103009,-3955.216119,-3459.487004,-2954.351357,-2452.110106,-1941.956818,-1430.260113,-909.1562072,-381.9446575,129.7665555,1.005082282,170.3333949
-3000,1,1,564.4608996,1096.309815,1631.74309,2170.789798,2713.395074,3259.432085,3808.954993,4361.851755,4918.184822,5478.293715,6042.068417,6609.27196,1.099038262,323.6622877
0,0,1,751.8162319,1283.614511,1819.660486,2360.048898,2904.874448,3454.231531,4008.213946,4566.914558,5130.424939,5698.834965,6272.232368,6850.70226,1.108611967,245.7201891
0,1,0,-1084.373641,-575.4629,-65.11800623,443.1132602,960.3140594,1477.182684,2004.764838,2531.76084,3061.095681,3587.358067,4117.504294,4656.718375,1.043971217,364.7719456
0,1,1,743.8317184,1045.454276,1365.774911,1681.689168,1981.020154,2285.2433,2590.464147,2900.192656,3211.223915,3523.046454,3835.544072,4148.879044,0.618025466,616.2435132
3000,0,1,9534.487901,10149.34347,10770.51124,11393.00904,12019.9386,12651.76375,13284.06831,13921.99884,14563.17179,15205.60758,15853.18045,16505.86948,1.26751541,378.5428239
3000,1,0,-3312.524677,-2997.702166,-3178.674237,-2732.596734,-2321.386911,-1403.169412,-1123.462287,-652.5813643,-219.865114,242.9785934,654.6488774,1077.180384,0.859855012,21.08594576
3000,1,1,1197.228619,947.5599588,717.6751015,492.888998,242.9087966,-16.87648635,-281.6138686,-549.8484135,-823.0777409,-1102.516294,-1388.040056,-1679.341324,-0.521866098,-82.18637147
6000,1,0,-7800.941825,-7450.774776,-7094.534214,-7052.070384,-6692.04982,-6585.022471,-6176.074056,-5772.432846,-5366.063348,-4954.052162,-4555.068845,-4155.667059,0.648535557,23.27073129
6000,1,1,825.7193771,634.6814187,423.85373,212.7371667,-11.39072808,-251.3096404,-506.9780989,-755.6996362,-1008.661511,-1266.664436,-1528.832042,-1796.084941,-0.480704087,-68.16115252
9000,1,0,-5228.454653,-4711.156826,-4190.378086,-3656.893189,-3120.662745,-2573.878763,-2024.74996,-1450.5514,-871.6663582,-294.884241,281.8414559,859.7370312,1.10951851,151.098442
9000,1,1,727.5521072,602.7826554,437.2970199,276.8407902,119.3786037,-53.55715925,-233.356222,-425.5048259,-625.7466515,-832.2263356,-1040.373664,-1251.899023,-0.362072863,-48.55620819
12000,1,1,848.6178887,732.1606682,595.9939341,444.8221759,302.3887418,140.5616074,-38.10331107,-242.5308544,-455.5221141,-677.6915404,-904.8819134,-1132.664397,-0.361947076,-29.63210562
15000,1,0,-16418.34241,-21566.61058,-21658.23194,-21757.45512,-21850.90158,-21991.40638,-22118.77584,-22247.79477,-22384.89626,-22546.11546,-22716.87133,-22898.52843,-0.645488337,-2.937946513
15000,1,1,1008.20044,923.3393979,818.1646228,712.8583438,607.9619062,469.2884653,337.9575119,183.5706167,11.9406071,-169.7820254,-361.6190998,-553.1709642,-0.283667356,-24.59294936
18000,1,0,-13023.62166,-26328.50767,-32503.63479,-32575.01467,-32644.59281,-32702.99411,-32758.83889,-32817.47153,-32920.6785,-33014.1592,-33111.55582,-33266.02569,-2.025107333,-2.5199656
18000,1,1,988.1461349,906.3006047,814.1822398,701.7361753,589.6943108,446.3849767,306.0962679,150.4891578,-18.39958444,-194.562183,-382.1437843,-575.1391081,-0.28609742,-25.74383888
6000,0,1,,,,,,,,,,,,,1.26751541,378.5428239
9000,0,1,,,,,,,,,,,,,1.26751541,378.5428239
12000,0,1,,,,,,,,,,,,,1.26751541,378.5428239
18000,0,1,,,,,,,,,,,,,1.26751541,378.5428239
-3000,0,1,,,,,,,,,,,,,1.108611967,245.7201891
-6000,0,1,,,,,,,,,,,,,1.108611967,245.7201891
-9000,0,1,,,,,,,,,,,,,1.108611967,245.7201891
-12000,0,1,,,,,,,,,,,,,1.108611967,245.7201891
