VSP_group,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,3884.493583,3884.515055,3884.546183,3884.567792,3884.575194,3884.575522,3884.578391,3884.57351,3884.557867,3884.554208,3884.544821,3884.545691,5.91E-06,1.420702797
-9000,0,3884.511601,3884.555062,3884.57163,3884.589679,3884.598221,3884.605814,3884.618745,3884.623703,3884.637397,3884.64603,3884.654198,3884.651006,2.29E-05,10.57786456
-6000,0,3884.607205,3884.63296,3884.643843,3884.645794,3884.652615,3884.649284,3884.650518,3884.648037,3884.645529,3884.642547,3884.641569,3884.645775,3.35E-06,1.819442962
-3000,0,3884.487478,3884.54992,3884.575167,3884.583442,3884.586619,3884.590003,3884.592601,3884.595167,3884.597353,3884.599614,3884.601043,3884.601781,1.39E-05,3.815618284
0,0,3899.096395,3931.758657,3967.575117,4000.068702,4035.540401,4070.394389,4104.294134,4140.12196,4176.456793,4213.21205,4250.149963,4288.197077,0.070592117,170.9751893
3000,0,4453.95488,4996.066393,5074.034314,5497.629239,5760.493313,6013.281422,6313.458751,6120.322669,6344.676258,6605.238304,6875.641405,7114.441489,0.437166827,15.56059774
6000,0,7840.91691,8196.944553,8546.605655,8970.541098,9336.972021,8762.430788,9028.934443,9325.947627,9629.416498,9930.748429,10273.49117,10610.73212,0.436179677,10.2504525
9000,0,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,3884.990516,0,0
12000,0,,,,,,,,,,,,,3.810775129,5.963322512
15000,0,37009.75599,52878.84599,54154.14221,55433.12441,56690.37641,58102.60165,59464.07927,60812.69691,62165.30056,63558.9727,64960.41845,66371.89763,3.810775129,5.963322512
18000,0,3885.115455,31631.52605,52444.54504,53610.11517,54756.03799,55886.22573,57019.38049,58165.80784,59415.64721,60644.41591,61878.61235,63295.44067,7.157528495,3.709108605
-12000,1,3884.711872,3884.724588,3884.73255,3884.735637,3884.735637,3884.48666,3884.48666,3884.48666,3884.48666,3884.48666,3884.48666,3884.297916,-7.28E-05,-6.057243826
-9000,1,3884.849847,3884.86047,3884.867781,3884.870849,3884.870849,3884.870849,3884.870849,3884.870849,3884.870849,3884.870849,3884.870849,3884.870849,2.42E-06,2.891851927
-6000,1,3884.730771,3884.743489,3884.751452,3884.754539,3884.754539,3884.754539,3884.754539,3884.754539,3884.754539,3884.754539,3884.754539,3884.754539,2.67E-06,2.822826342
-3000,1,3884.117993,3884.161169,3884.186525,3884.204768,3884.215206,3884.220575,3884.225788,3884.228062,3884.229676,3884.231451,3884.233368,3884.235294,1.69E-05,5.171678628
0,1,4946.36074,5449.615,5910.51128,6390.967606,6913.478971,7431.343427,7952.702945,8469.623868,8986.492673,9502.548245,10016.92488,10521.46521,1.019186128,231.2298589
3000,1,17011.56179,18694.84639,20334.73061,21948.82237,23598.03797,25243.47073,26878.87935,28497.51026,30109.5849,31712.82681,33313.03396,34917.29422,3.253923471,545.2619558
6000,1,31188.99156,32590.7114,34015.0362,35431.50915,36872.25214,38344.36519,39847.07249,41341.64127,42849.2197,44372.10171,45909.06145,47462.08654,2.960615954,196.6363774
9000,1,42484.10513,43731.0985,45059.32722,46381.94656,47703.2423,49059.07178,50433.88558,51834.30849,53259.04943,54700.15432,56148.31184,57606.0976,2.753399676,145.7205378
12000,1,53695.2207,54948.66429,56243.02763,57569.86175,58879.21228,60227.76068,61611.1784,63059.47917,64513.78219,65988.38022,67475.46299,68966.02237,2.780288779,107.6270971
15000,1,64372.66268,65566.81869,66801.40259,68037.01128,69272.94947,70575.82967,71865.93951,73202.11291,74573.94576,75967.45372,77383.90898,78803.25023,2.622481862,109.2093804
18000,1,76215.63101,77405.69201,78616.81528,79868.53657,81121.20505,82438.67028,83756.41511,85113.55945,86510.85399,87936.79035,89398.16834,90880.99906,2.664318574,90.60817842
