VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
-60000,0,0,1.420702797,0
-59000,0,0,1.420702797,0
-58000,0,0,1.420702797,0
-57000,0,0,1.420702797,0
-56000,0,0,1.420702797,0
-55000,0,0,1.420702797,0
-54000,0,0,1.420702797,0
-53000,0,0,1.420702797,0
-52000,0,0,1.420702797,0
-51000,0,0,1.420702797,0
-50000,0,0,1.420702797,0
-49000,0,0,1.420702797,0
-48000,0,0,1.420702797,0
-47000,0,0,1.420702797,0
-46000,0,0,1.420702797,0
-45000,0,0,1.420702797,0
-44000,0,0,1.420702797,0
-43000,0,0,1.420702797,0
-42000,0,0,1.420702797,0
-41000,0,0,1.420702797,0
-40000,0,0,1.420702797,0
-39000,0,0,1.420702797,0
-38000,0,0,1.420702797,0
-37000,0,0,1.420702797,0
-36000,0,0,1.420702797,0
-35000,0,0,1.420702797,0
-34000,0,0,1.420702797,0
-33000,0,0,1.420702797,0
-32000,0,0,1.420702797,0
-31000,0,0,1.420702797,0
-30000,0,0,1.420702797,0
-29000,0,0,1.420702797,0
-28000,0,0,1.420702797,0
-27000,0,0,1.420702797,0
-26000,0,0,1.420702797,0
-25000,0,0,1.420702797,0
-24000,0,0,1.420702797,0
-23000,0,0,1.420702797,0
-22000,0,0,1.420702797,0
-21000,0,0,1.420702797,0
-20000,0,0,1.420702797,0
-19000,0,0,1.420702797,0
-18000,0,0,1.420702797,0
-17000,0,0,1.420702797,0
-16000,0,0,1.420702797,0
-15000,0,0,1.420702797,0
-14000,0,0,1.420702797,0
-11000,0,0,1.420702797,0
-12000,0,0,1.420702797,0
-13000,0,0,1.420702797,0
-8000,0,2.29E-05,10.57786456,0
-9000,0,2.29E-05,10.57786456,0
-10000,0,2.29E-05,10.57786456,0
-5000,0,0,1.819442962,0
-6000,0,0,1.819442962,0
-7000,0,0,1.819442962,0
-2000,0,1.39E-05,3.815618284,0
-3000,0,1.39E-05,3.815618284,0
-4000,0,1.39E-05,3.815618284,0
1000,1,1.019186128,231.2298589,509.593064
0,1,1.019186128,231.2298589,509.593064
-1000,1,1.019186128,231.2298589,509.593064
4000,1,3.253923471,545.2619558,1626.961736
3000,1,3.253923471,545.2619558,1626.961736
2000,1,3.253923471,545.2619558,1626.961736
7000,1,2.960615954,196.6363774,1480.307977
6000,1,2.960615954,196.6363774,1480.307977
5000,1,2.960615954,196.6363774,1480.307977
10000,1,2.753399676,145.7205378,1376.699838
9000,1,2.753399676,145.7205378,1376.699838
8000,1,2.753399676,145.7205378,1376.699838
13000,1,2.780288779,107.6270971,1390.144389
12000,1,2.780288779,107.6270971,1390.144389
11000,1,2.780288779,107.6270971,1390.144389
16000,1,2.622481862,109.2093804,1311.240931
15000,1,2.622481862,109.2093804,1311.240931
14000,1,2.622481862,109.2093804,1311.240931
19000,1,2.664318574,90.60817842,1332.159287
18000,1,2.664318574,90.60817842,1332.159287
17000,1,2.664318574,90.60817842,1332.159287
20000,1,2.664318574,90.60817842,1332.159287
21000,1,2.664318574,90.60817842,1332.159287
22000,1,2.664318574,90.60817842,1332.159287
23000,1,2.664318574,90.60817842,1332.159287
24000,1,2.664318574,90.60817842,1332.159287
25000,1,2.664318574,90.60817842,1332.159287
26000,1,2.664318574,90.60817842,1332.159287
27000,1,2.664318574,90.60817842,1332.159287
28000,1,2.664318574,90.60817842,1332.159287
29000,1,2.664318574,90.60817842,1332.159287
30000,1,2.664318574,90.60817842,1332.159287
31000,1,2.664318574,90.60817842,1332.159287
32000,1,2.664318574,90.60817842,1332.159287
33000,1,2.664318574,90.60817842,1332.159287
34000,1,2.664318574,90.60817842,1332.159287
35000,1,2.664318574,90.60817842,1332.159287
36000,1,2.664318574,90.60817842,1332.159287
37000,1,2.664318574,90.60817842,1332.159287
38000,1,2.664318574,90.60817842,1332.159287
39000,1,2.664318574,90.60817842,1332.159287
40000,1,2.664318574,90.60817842,1332.159287
41000,1,2.664318574,90.60817842,1332.159287
42000,1,2.664318574,90.60817842,1332.159287
43000,1,2.664318574,90.60817842,1332.159287
44000,1,2.664318574,90.60817842,1332.159287
45000,1,2.664318574,90.60817842,1332.159287
46000,1,2.664318574,90.60817842,1332.159287
47000,1,2.664318574,90.60817842,1332.159287
48000,1,2.664318574,90.60817842,1332.159287
49000,1,2.664318574,90.60817842,1332.159287
50000,1,2.664318574,90.60817842,1332.159287
51000,1,2.664318574,90.60817842,1332.159287
52000,1,2.664318574,90.60817842,1332.159287
53000,1,2.664318574,90.60817842,1332.159287
54000,1,2.664318574,90.60817842,1332.159287
55000,1,2.664318574,90.60817842,1332.159287
56000,1,2.664318574,90.60817842,1332.159287
57000,1,2.664318574,90.60817842,1332.159287
58000,1,2.664318574,90.60817842,1332.159287
59000,1,2.664318574,90.60817842,1332.159287
60000,1,2.664318574,90.60817842,1332.159287
