VSP_group,eng_on,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,0,-12842.04979,-12350.4023,-11855.97241,-11360.45279,-10866.72594,-10591.3756,-9711.581689,-9210.267758,-8266.308006,-7965.359608,-6501.647148,-5993.139739,1.23448244,21.78311463
-12000,1,0,-13578.47215,-13076.43543,-12559.09913,-11960.1727,-11462.26605,-10918.13901,-10388.84761,-9885.696132,-9382.585361,-8878.34788,-8372.248161,-7969.279092,1.034622417,119.7283241
-9000,0,0,-10857.43116,-10383.76152,-9923.08409,-9424.17565,-8766.260038,-8210.500767,-7689.443121,-7182.644914,-6649.455351,-6171.100407,-5663.840813,-5153.443222,1.053374434,114.0023404
-9000,1,0,-11394.59195,-10889.7119,-10383.15257,-9876.158936,-9332.411889,-8826.515438,-8292.679444,-7787.912618,-7278.026578,-6751.073981,-6232.579417,-5726.756403,1.033866636,620.0403661
-6000,0,0,-7247.379667,-6711.180636,-6212.436946,-5703.420163,-5234.498302,-4676.834228,-4075.921063,-3560.055192,-3016.979482,-2556.458565,-2158.295947,-1637.559128,1.030295683,103.7360426
-6000,1,0,-7043.171497,-6557.110883,-6059.176656,-5572.664197,-5068.196007,-4551.892515,-4029.343208,-3512.928138,-2988.08718,-2469.895831,-1961.064589,-1426.358364,1.023675279,262.6105811
-3000,0,0,-2986.877399,-2558.863295,-2035.403637,-1512.686748,-1051.368464,-509.8334919,-50.61024135,377.6480974,936.8269347,1400.12347,1837.190361,2370.499534,0.97579133,180.2843841
-3000,0,1,678.6202066,1131.153178,1654.746825,2209.424119,2777.057798,3323.681824,3870.110832,4428.746486,4971.397563,5601.91203,6361.601885,6911.105236,1.136873373,71.79474537
-3000,1,0,-2771.105391,-2242.589447,-1733.479857,-1227.891293,-702.8586506,-202.7070217,306.8141496,818.2206289,1339.217447,1861.322668,2407.878736,2938.42409,1.033083625,351.7994173
-12000,1,1,,,,,,,,,,,,,0.958472605,33.55792056
-9000,1,1,,,,,,,,,,,,,0.958472605,33.55792056
-6000,1,1,,,,,,,,,,,,,0.958472605,33.55792056
-3000,1,1,1377.700099,1362.496678,2057.255052,2234.21731,2743.860397,3258.408637,3811.725014,4322.876711,4792.143545,5332.604155,5875.023048,6417.827823,0.958472605,33.55792056
0,0,0,-609.4306918,-35.11410111,458.1345273,984.6686131,1513.290603,2056.56425,2598.327337,3125.176779,3688.358858,4228.828476,4736.328048,5278.502058,1.069936854,370.1345662
0,0,1,869.711399,1444.338458,1966.712901,2493.540321,3045.372848,3577.955453,4099.570255,4650.524099,5191.795278,5725.712149,6426.152751,6973.208593,1.098714237,123.9820372
0,1,0,29.81856598,283.9210232,442.3468277,501.952928,560.1450743,596.1243908,692.9205304,765.8947086,865.8695854,894.1073658,879.2548301,935.2261181,0.146947129,10.67752787
0,1,1,1259.644397,1620.986868,1965.417012,2423.227143,2849.872665,3321.826424,3822.894179,4328.213253,4843.328178,5394.293475,5917.280872,6445.526281,0.956294243,50.69582839
3000,0,0,-1279.322921,-569.0692355,-226.830811,299.3149317,827.0573456,1356.430386,1887.444528,2420.099111,2954.477944,3490.741048,4028.561399,4568.159542,1.051118464,115.6080642
3000,0,1,6709.105984,7217.801805,7781.130394,8338.350944,8877.995678,9402.718432,10056.74614,10598.80883,11135.44387,11621.73513,12176.94189,12735.2775,1.102142045,187.2782906
3000,1,0,147.092994,216.5780785,214.8639141,91.4007981,-59.89586868,-167.4714105,-328.2837398,-464.5873402,-707.3507981,-1006.439039,-1289.787217,-1630.362153,-0.328860557,-10.13170698
3000,1,1,2646.248581,4104.622144,5719.928247,5573.521402,6063.085105,6695.93865,6576.622456,8269.292337,9563.352108,9196.474217,8768.782271,13260.75197,1.465183631,8.652635978
6000,0,1,12531.85915,13188.73816,13735.72157,14275.86794,14715.46015,15279.81285,15898.93541,16361.54861,16871.25431,17416.17547,18150.08858,18671.5029,1.094305819,91.84827412
6000,1,0,94.00206811,176.9628668,200.1732823,146.6391969,25.03975445,-110.5628774,-271.0259301,-432.0603984,-632.3891539,-842.262544,-1037.18679,-1230.770204,-0.267299286,-10.23088815
6000,1,1,2709.832952,3438.209616,4224.511796,5230.93998,6781.833679,7996.702762,8006.810117,9124.597368,8847.734048,15680.89436,19333.85888,15114.84731,2.691140196,7.655509983
9000,0,1,18418.32245,18815.01424,19360.13139,19739.33595,20181.02733,20825.97375,21594.14728,21862.36649,22469.10141,22835.30357,23438.26912,24008.35313,1.027180805,56.55446313
9000,1,0,43.04102632,150.5952318,215.7185241,172.3865881,97.14373104,-59.93890727,-238.4070686,-407.9917868,-599.8627355,-757.9706616,-1041.44967,-1297.093279,-0.264621169,-8.120974275
9000,1,1,3164.028204,3906.460499,4724.666796,5443.018067,6349.708251,6917.36425,7893.498931,8734.824602,7597.863775,11592.75864,13038.05575,12063.73258,1.727716507,11.29497214
12000,0,1,25408.95294,26193.18994,26773.0545,27474.91519,28350.34286,29036.38387,30591.65607,32133.68017,32578.01887,33151.18098,33763.43424,34149.05591,1.729657477,23.73421793
12000,1,0,49.3273628,118.3850942,143.3760326,207.1131723,204.5654925,11.88956391,-77.87430633,-169.4261756,-407.4292839,-613.9603508,-822.0589926,-931.2811644,-0.201653821,-6.418130409
12000,1,1,4703.858809,5322.295721,5437.809708,6106.548362,7252.333792,7560.298655,10954.2919,10295.07559,11456.0453,13814.0004,15053.09663,12497.36682,1.896565276,10.08124238
15000,0,1,32243.07006,33247.9277,34054.90198,34142.42898,34972.71083,35559.06025,35726.04982,37015.05166,38420.51331,37755.79419,37814.10136,38137.61219,1.11556787,12.42268837
15000,1,0,35.24367004,100.6420922,131.2190817,143.738519,90.04362068,-29.97013354,-163.6670946,-308.8391346,-495.7430808,-678.1559039,-638.1814031,-619.971356,-0.168182901,-7.646126865
15000,1,1,7789.263752,9235.623133,10006.45898,12110.21447,11815.52469,13640.14186,15073.15354,14714.26225,14697.60782,14853.96358,16852.05773,18087.47363,1.670118485,12.14716215
18000,0,1,35463.88134,36075.04578,36763.52483,37295.9243,37880.92921,38639.86936,39112.17819,39609.52998,40118.6366,39112.47231,40196.5219,40777.1135,0.921350655,11.72600199
18000,1,0,0.960735389,148.0249293,236.914996,409.8092224,304.8865851,326.3993866,272.1445818,253.9264719,224.2795609,251.4782037,343.9901598,423.195747,0.037590428,2.327360935
18000,1,1,12858.72068,10792.95917,10941.83354,11198.12938,11860.32059,14165.77366,14873.8882,15534.31558,16284.46486,18671.90698,18465.77733,17490.94961,1.477497711,7.108072756
