VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-60000,0,0,1.23448244,21.78311463,617.24122
-59000,0,0,1.23448244,21.78311463,617.24122
-58000,0,0,1.23448244,21.78311463,617.24122
-57000,0,0,1.23448244,21.78311463,617.24122
-56000,0,0,1.23448244,21.78311463,617.24122
-55000,0,0,1.23448244,21.78311463,617.24122
-54000,0,0,1.23448244,21.78311463,617.24122
-53000,0,0,1.23448244,21.78311463,617.24122
-52000,0,0,1.23448244,21.78311463,617.24122
-51000,0,0,1.23448244,21.78311463,617.24122
-50000,0,0,1.23448244,21.78311463,617.24122
-49000,0,0,1.23448244,21.78311463,617.24122
-48000,0,0,1.23448244,21.78311463,617.24122
-47000,0,0,1.23448244,21.78311463,617.24122
-46000,0,0,1.23448244,21.78311463,617.24122
-45000,0,0,1.23448244,21.78311463,617.24122
-44000,0,0,1.23448244,21.78311463,617.24122
-43000,0,0,1.23448244,21.78311463,617.24122
-42000,0,0,1.23448244,21.78311463,617.24122
-41000,0,0,1.23448244,21.78311463,617.24122
-40000,0,0,1.23448244,21.78311463,617.24122
-39000,0,0,1.23448244,21.78311463,617.24122
-38000,0,0,1.23448244,21.78311463,617.24122
-37000,0,0,1.23448244,21.78311463,617.24122
-36000,0,0,1.23448244,21.78311463,617.24122
-35000,0,0,1.23448244,21.78311463,617.24122
-34000,0,0,1.23448244,21.78311463,617.24122
-33000,0,0,1.23448244,21.78311463,617.24122
-32000,0,0,1.23448244,21.78311463,617.24122
-31000,0,0,1.23448244,21.78311463,617.24122
-30000,0,0,1.23448244,21.78311463,617.24122
-29000,0,0,1.23448244,21.78311463,617.24122
-28000,0,0,1.23448244,21.78311463,617.24122
-27000,0,0,1.23448244,21.78311463,617.24122
-26000,0,0,1.23448244,21.78311463,617.24122
-25000,0,0,1.23448244,21.78311463,617.24122
-24000,0,0,1.23448244,21.78311463,617.24122
-23000,0,0,1.23448244,21.78311463,617.24122
-22000,0,0,1.23448244,21.78311463,617.24122
-21000,0,0,1.23448244,21.78311463,617.24122
-20000,0,0,1.23448244,21.78311463,617.24122
-19000,0,0,1.23448244,21.78311463,617.24122
-18000,0,0,1.23448244,21.78311463,617.24122
-17000,0,0,1.23448244,21.78311463,617.24122
-16000,0,0,1.23448244,21.78311463,617.24122
-15000,0,0,1.23448244,21.78311463,617.24122
-14000,0,0,1.23448244,21.78311463,617.24122
-13000,0,0,1.23448244,21.78311463,617.24122
-12000,0,0,1.23448244,21.78311463,617.24122
-11000,0,0,1.23448244,21.78311463,617.24122
-60000,1,0,1.034622417,119.7283241,517.3112085
-59000,1,0,1.034622417,119.7283241,517.3112085
-58000,1,0,1.034622417,119.7283241,517.3112085
-57000,1,0,1.034622417,119.7283241,517.3112085
-56000,1,0,1.034622417,119.7283241,517.3112085
-55000,1,0,1.034622417,119.7283241,517.3112085
-54000,1,0,1.034622417,119.7283241,517.3112085
-53000,1,0,1.034622417,119.7283241,517.3112085
-52000,1,0,1.034622417,119.7283241,517.3112085
-51000,1,0,1.034622417,119.7283241,517.3112085
-50000,1,0,1.034622417,119.7283241,517.3112085
-49000,1,0,1.034622417,119.7283241,517.3112085
-48000,1,0,1.034622417,119.7283241,517.3112085
-47000,1,0,1.034622417,119.7283241,517.3112085
-46000,1,0,1.034622417,119.7283241,517.3112085
-45000,1,0,1.034622417,119.7283241,517.3112085
-44000,1,0,1.034622417,119.7283241,517.3112085
-43000,1,0,1.034622417,119.7283241,517.3112085
-42000,1,0,1.034622417,119.7283241,517.3112085
-41000,1,0,1.034622417,119.7283241,517.3112085
-40000,1,0,1.034622417,119.7283241,517.3112085
-39000,1,0,1.034622417,119.7283241,517.3112085
-38000,1,0,1.034622417,119.7283241,517.3112085
-37000,1,0,1.034622417,119.7283241,517.3112085
-36000,1,0,1.034622417,119.7283241,517.3112085
-35000,1,0,1.034622417,119.7283241,517.3112085
-34000,1,0,1.034622417,119.7283241,517.3112085
-33000,1,0,1.034622417,119.7283241,517.3112085
-32000,1,0,1.034622417,119.7283241,517.3112085
-31000,1,0,1.034622417,119.7283241,517.3112085
-30000,1,0,1.034622417,119.7283241,517.3112085
-29000,1,0,1.034622417,119.7283241,517.3112085
-28000,1,0,1.034622417,119.7283241,517.3112085
-27000,1,0,1.034622417,119.7283241,517.3112085
-26000,1,0,1.034622417,119.7283241,517.3112085
-25000,1,0,1.034622417,119.7283241,517.3112085
-24000,1,0,1.034622417,119.7283241,517.3112085
-23000,1,0,1.034622417,119.7283241,517.3112085
-22000,1,0,1.034622417,119.7283241,517.3112085
-21000,1,0,1.034622417,119.7283241,517.3112085
-20000,1,0,1.034622417,119.7283241,517.3112085
-19000,1,0,1.034622417,119.7283241,517.3112085
-18000,1,0,1.034622417,119.7283241,517.3112085
-17000,1,0,1.034622417,119.7283241,517.3112085
-16000,1,0,1.034622417,119.7283241,517.3112085
-15000,1,0,1.034622417,119.7283241,517.3112085
-14000,1,0,1.034622417,119.7283241,517.3112085
-11000,1,0,1.034622417,119.7283241,517.3112085
-12000,1,0,1.034622417,119.7283241,517.3112085
-13000,1,0,1.034622417,119.7283241,517.3112085
-60000,1,1,0.958472605,33.55792056,479.2363025
-59000,1,1,0.958472605,33.55792056,479.2363025
-58000,1,1,0.958472605,33.55792056,479.2363025
-57000,1,1,0.958472605,33.55792056,479.2363025
-56000,1,1,0.958472605,33.55792056,479.2363025
-55000,1,1,0.958472605,33.55792056,479.2363025
-54000,1,1,0.958472605,33.55792056,479.2363025
-53000,1,1,0.958472605,33.55792056,479.2363025
-52000,1,1,0.958472605,33.55792056,479.2363025
-51000,1,1,0.958472605,33.55792056,479.2363025
-50000,1,1,0.958472605,33.55792056,479.2363025
-49000,1,1,0.958472605,33.55792056,479.2363025
-48000,1,1,0.958472605,33.55792056,479.2363025
