VSP_group,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,7.105162267,7.105162299,6.98473575,6.868323401,6.54126047,6.439053377,6.339990927,6.339990927,6.339991069,6.339990947,6.150737494,6.243930685,-0.000181267,-8.295693152
-9000,0,5.526882599,5.332206757,5.341865416,5.341713464,5.097907477,4.992651749,4.87522723,4.875082134,4.818338642,4.724204328,4.618880476,4.618743826,-0.000168782,-15.67824591
-6000,0,6.929409173,2.505279649,2.464706752,2.470330773,2.398893136,2.369922718,2.304245868,2.306646666,2.301601748,2.282249452,2.251316277,2.246581911,-0.000393427,-2.007113692
-3000,0,451.2372517,462.4774043,462.427479,465.1623575,478.6161211,473.1106149,476.4833507,495.4000876,492.2589722,506.4494218,516.4980324,517.2731231,0.011957633,12.9416876
-12000,1,,,,,,,,,,,,,0.037012151,3.373968462
-9000,1,,,,,,,,,,,,,0.037012151,3.373968462
-6000,1,,,,,,,,,,,,,0.037012151,3.373968462
-3000,1,4837.215916,4835.942315,4699.718588,4907.062823,4935.51009,4935.510089,4865.995862,4890.82649,5030.564389,5019.67526,4968.597697,4968.597697,0.037012151,3.373968462
0,0,9807.131882,11637.16463,13361.35157,15004.21705,16621.84952,18111.34374,19419.34967,20981.01436,22194.72413,23888.92223,25371.80801,26967.94868,3.051830808,84.19114506
0,1,6415.78953,6122.195845,5629.860885,5338.210162,5445.169166,5261.276838,5202.572307,5073.326137,4938.292211,4899.270194,4860.199718,4706.506891,-0.268867359,-8.469356399
3000,0,25727.60846,27067.77005,28867.87305,30966.02996,33136.7445,35171.67247,37301.24583,39316.7843,41712.2349,44026.41617,46535.86485,49119.00211,4.286914004,54.22429568
3000,1,19819.25421,18593.08029,17783.56586,18959.72274,19999.51108,20790.25418,20112.40545,19316.97461,21417.44047,22968.91248,23658.64364,20854.31857,0.719135209,3.628946
6000,0,39455.47789,40787.95496,42284.66773,44057.14832,46044.37964,48071.13907,50187.26519,52270.6138,54555.2236,56752.65778,58980.96449,61123.04805,4.032457993,49.19621463
6000,1,32377.23908,31753.64918,31088.79006,29983.6223,27890.27514,26308.89431,27729.7282,26929.01298,28647.76578,25173.40843,20663.00393,22903.15991,-1.773290802,-6.720345681
9000,0,51787.80839,53130.08172,54476.59657,56225.21761,58027.6549,60135.47391,62186.03556,64228.34116,66293.7618,68391.18242,70836.10345,73219.56509,3.940566165,42.01053234
9000,1,44410.82442,43643.45031,43442.53198,42866.98018,41376.53308,40866.63806,40439.3311,39603.19762,43336.73801,34816.1755,32756.20085,35880.74708,-1.787406402,-4.875795899
12000,0,64893.80516,65908.82083,67198.70649,68519.98272,70312.70588,72485.54924,74230.65168,76072.21843,78355.65987,80621.40765,82872.25139,84839.42541,3.735899523,32.43969433
12000,1,52656.07295,53027.23786,54595.26783,55108.33943,54211.62161,53644.92584,47553.43695,50256.35868,49485.99557,45491.72533,41787.93978,50078.25047,-1.67345122,-3.468357266
15000,0,76321.5793,77496.05993,79058.78206,80759.59355,82293.03057,84595.615,86557.05217,88430.15658,90529.4154,92538.44108,94155.25534,95704.40448,3.683380233,58.35298407
15000,1,59534.12313,58289.16287,58479.76679,55696.69015,57753.45666,54187.23087,53204.0411,53610.1923,55816.94228,59294.91209,55716.29456,55358.02932,-0.532857005,-1.535394544
18000,0,84140.92142,84929.45183,85879.88763,87739.36298,89594.12354,91484.22014,93373.93503,95221.85991,97466.81747,99275.69384,101022.5809,102275.1257,3.534931808,39.33291241
18000,1,59111.3527,64703.45765,66313.00564,64203.35223,66861.65594,62448.09715,63169.596,63040.89445,63796.90303,60316.0207,61206.92425,63771.51315,-0.244468264,-0.626208733
