VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
-60000,0,-0.000181267,-8.295693152,-0.0906335
-59000,0,-0.000181267,-8.295693152,-0.0906335
-58000,0,-0.000181267,-8.295693152,-0.0906335
-57000,0,-0.000181267,-8.295693152,-0.0906335
-56000,0,-0.000181267,-8.295693152,-0.0906335
-55000,0,-0.000181267,-8.295693152,-0.0906335
-54000,0,-0.000181267,-8.295693152,-0.0906335
-53000,0,-0.000181267,-8.295693152,-0.0906335
-52000,0,-0.000181267,-8.295693152,-0.0906335
-51000,0,-0.000181267,-8.295693152,-0.0906335
-50000,0,-0.000181267,-8.295693152,-0.0906335
-49000,0,-0.000181267,-8.295693152,-0.0906335
-48000,0,-0.000181267,-8.295693152,-0.0906335
-47000,0,-0.000181267,-8.295693152,-0.0906335
-46000,0,-0.000181267,-8.295693152,-0.0906335
-45000,0,-0.000181267,-8.295693152,-0.0906335
-44000,0,-0.000181267,-8.295693152,-0.0906335
-43000,0,-0.000181267,-8.295693152,-0.0906335
-42000,0,-0.000181267,-8.295693152,-0.0906335
-41000,0,-0.000181267,-8.295693152,-0.0906335
-40000,0,-0.000181267,-8.295693152,-0.0906335
-39000,0,-0.000181267,-8.295693152,-0.0906335
-38000,0,-0.000181267,-8.295693152,-0.0906335
-37000,0,-0.000181267,-8.295693152,-0.0906335
-36000,0,-0.000181267,-8.295693152,-0.0906335
-35000,0,-0.000181267,-8.295693152,-0.0906335
-34000,0,-0.000181267,-8.295693152,-0.0906335
-33000,0,-0.000181267,-8.295693152,-0.0906335
-32000,0,-0.000181267,-8.295693152,-0.0906335
-31000,0,-0.000181267,-8.295693152,-0.0906335
-30000,0,-0.000181267,-8.295693152,-0.0906335
-29000,0,-0.000181267,-8.295693152,-0.0906335
-28000,0,-0.000181267,-8.295693152,-0.0906335
-27000,0,-0.000181267,-8.295693152,-0.0906335
-26000,0,-0.000181267,-8.295693152,-0.0906335
-25000,0,-0.000181267,-8.295693152,-0.0906335
-24000,0,-0.000181267,-8.295693152,-0.0906335
