VSP_group,eng_on,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,0,-12647.46634,-12393.06402,-12077.38681,-11574.82632,-11501.08626,-11064.2789,-10708.26487,-10308.1748,-9423.560903,-8656.240323,-8456.811953,-7976.019695,0.877281697,18.81700121
-12000,1,0,-11447.50302,-9394.374882,-7916.278423,-9703.861614,-5986.35007,-7839.264534,-5745.240584,-4390.540781,-5298.983405,-5263.500392,-4023.770611,-5492.561801,1.128077489,5.482123044
-9000,0,0,-9483.606941,-9227.423193,-8791.637362,-8276.880732,-8010.239793,-7533.212223,-7112.187893,-6440.713329,-6027.244642,-5274.335247,-5098.152931,-4542.58718,0.926668173,38.6084061
-9000,1,0,-5746.811105,-6623.220249,-5947.500088,-4754.075523,-5722.002744,-4921.621203,-5350.473493,-5006.524664,-4494.418259,-4799.447297,-4417.527793,-4292.329638,0.327991371,4.712284664
-6000,0,0,-5437.21382,-4844.836516,-4373.997574,-3982.897448,-3572.491235,-2845.365764,-2531.969406,-2088.061066,-1759.419661,-1382.907544,-972.9171325,-688.0480566,0.866502125,39.34231188
-6000,1,0,1340.329627,-972.0205078,-214.3869697,-2259.576613,-956.6257373,-1158.689575,-1320.389941,-1362.881618,-756.0379275,-777.9071443,-361.774384,147.1845661,-0.038040534,-0.242601619
-3000,0,0,-448.2150814,203.0911863,691.6603792,1263.306901,1632.092113,1755.882958,2211.159081,2703.405291,3043.219408,3047.419586,3607.358024,4609.383718,0.806511056,21.00930977
-3000,0,1,348.1091122,865.828471,1429.471137,1998.226438,2367.61897,2786.866371,3328.25263,3866.051305,4474.174573,5255.380967,5628.859607,6257.699776,1.063430561,52.15967278
-3000,1,0,-345.467136,-108.7200719,384.5197902,657.2448568,1650.245839,2314.693999,2640.765508,3196.765784,3560.270277,3695.643562,4115.417627,4779.507837,0.958395726,24.21534858
0,0,0,1399.723512,2046.621664,2105.309784,2425.004422,2827.081665,2930.541593,3183.838236,3517.009724,3827.57549,4527.691061,4835.460127,4811.53418,0.621832648,21.93595442
0,0,1,738.4551977,1108.03444,1699.178751,2135.677601,2669.166275,3595.565477,3875.383164,4366.100821,4845.092736,5030.63626,5229.856075,5770.979824,0.941902554,23.91394492
0,1,0,208.2270547,406.9689,697.4137289,794.8243262,949.0849048,1247.447256,1378.7413,1500.663759,1985.114919,2470.298013,2855.479238,3292.341385,0.532234435,14.4858065
-12000,1,1,,,,,,,,,,,,,-0.119311182,-1.270564075
-9000,1,1,,,,,,,,,,,,,-0.119311182,-1.270564075
-6000,1,1,,,,,,,,,,,,,-0.119311182,-1.270564075
-3000,1,1,,,,,,,,,,,,,-0.119311182,-1.270564075
0,1,1,1309.098491,1411.506662,1611.598054,1992.767172,2240.510075,2250.306204,2271.764701,2247.308495,1024.271354,799.5385922,899.9644765,1129.773231,-0.119311182,-1.270564075
3000,0,0,-2206.750724,-2850.540649,-1171.673232,-654.7687855,-842.6297237,-1421.29751,-2301.802235,-340.4039539,-933.9159124,-190.3339685,-428.6897222,-1356.766388,0.260463621,2.111010471
3000,0,1,2843.389872,3109.669475,1674.049073,2387.981118,5236.039231,4278.108055,5803.667874,6996.863592,7008.887609,8591.355217,10159.90454,6581.684558,1.279070388,5.853073667
3000,1,0,1209.148625,1222.766793,1175.216331,1141.144538,1077.469914,1013.872793,944.3649234,844.2392529,680.2468187,590.7771929,564.2119427,565.6004688,-0.141054446,-14.05524172
3000,1,1,1856.930693,1798.801502,1921.715013,2009.084031,2140.647478,2343.672774,2673.897252,2936.002155,3232.192913,3584.777786,3869.588008,3859.76129,0.427562849,13.79684062
6000,0,0,-7380.07743,-7025.508796,-7009.036409,-6605.39661,-11188.51575,-7529.08367,-6065.810933,-5430.68086,-7802.630059,-6769.808431,-8334.803983,-6085.620557,0.118045979,0.461315104
6000,0,1,12527.40328,13669.77794,15692.14981,12856.7804,14578.15391,13799.97702,17865.2711,904.2747159,-3844.043303,3314.09438,3763.488213,2704.09007,-2.827411909,-3.248889943
6000,1,0,1360.680476,1341.603823,1285.730661,1207.750112,1145.484089,1037.355348,965.4663377,858.5745971,677.7621812,611.5425406,506.1310857,409.8455534,-0.183778411,-21.71146302
6000,1,1,2112.622001,2238.744916,2210.379115,2346.760901,2535.974585,2723.013622,2874.214554,2920.594125,2979.952338,2964.360426,2292.023943,1477.862017,0.022699562,0.28933045
9000,1,0,1496.287114,1417.431322,1331.935074,1242.194348,1111.185526,936.5778544,809.5984117,607.8297957,508.0847289,472.8882182,421.2390277,296.3957792,-0.234164042,-24.04789095
9000,1,1,3457.091682,3550.007926,3604.723206,3700.768303,3735.586122,3800.664509,3959.803452,4094.607177,4143.132922,3930.926789,3284.114388,2000.984645,-0.08866272,-0.930529012
12000,1,0,1200.011666,1216.575884,1269.688179,1310.420652,1271.280356,1103.857522,1065.134489,1039.214669,981.9853644,1017.142061,1037.547835,893.4027316,-0.063838252,-5.449315354
12000,1,1,3907.212213,4068.331486,4236.241092,4511.589622,4623.856242,4888.800121,5178.769525,5458.539632,5501.120367,4662.229694,3238.650085,2614.653258,-0.076655158,-0.511955765
15000,1,0,1617.001195,1751.773318,1824.934658,1786.504599,1656.607217,1508.438553,1368.72396,1282.971498,1204.249228,1255.997722,1219.153891,1126.589648,-0.128269644,-7.070526423
15000,1,1,5202.958568,5478.481269,5680.40396,5387.623362,5602.06351,5569.563558,5652.999712,5688.637953,5737.091306,5255.406001,4128.425119,3016.113928,-0.259372608,-2.217753104
18000,1,0,1387.866358,1578.116606,1686.988093,1989.275994,1902.728122,1830.254944,1737.400463,1519.103472,1571.405082,1411.256961,1340.544324,1169.24789,-0.068574508,-1.842175125
18000,1,1,3599.29085,3551.270383,3388.02609,3249.59213,3281.854896,3270.565501,3831.141186,3786.573192,3675.230172,3889.494335,4523.271279,2459.42555,0.027431386,0.318985217
9000,0,1,,,,,,,,,,,,,-2.827411909,-3.248889943
12000,0,1,,,,,,,,,,,,,-2.827411909,-3.248889943
15000,0,1,,,,,,,,,,,,,-2.827411909,-3.248889943
18000,0,1,,,,,,,,,,,,,-2.827411909,-3.248889943
