VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-60000,0,0,0.877281697,18.81700121,438.6408485
-59000,0,0,0.877281697,18.81700121,438.6408485
-58000,0,0,0.877281697,18.81700121,438.6408485
-57000,0,0,0.877281697,18.81700121,438.6408485
-56000,0,0,0.877281697,18.81700121,438.6408485
-55000,0,0,0.877281697,18.81700121,438.6408485
-54000,0,0,0.877281697,18.81700121,438.6408485
-53000,0,0,0.877281697,18.81700121,438.6408485
-52000,0,0,0.877281697,18.81700121,438.6408485
-51000,0,0,0.877281697,18.81700121,438.6408485
-50000,0,0,0.877281697,18.81700121,438.6408485
-49000,0,0,0.877281697,18.81700121,438.6408485
-48000,0,0,0.877281697,18.81700121,438.6408485
-47000,0,0,0.877281697,18.81700121,438.6408485
-46000,0,0,0.877281697,18.81700121,438.6408485
-45000,0,0,0.877281697,18.81700121,438.6408485
-44000,0,0,0.877281697,18.81700121,438.6408485
-43000,0,0,0.877281697,18.81700121,438.6408485
-42000,0,0,0.877281697,18.81700121,438.6408485
-41000,0,0,0.877281697,18.81700121,438.6408485
-40000,0,0,0.877281697,18.81700121,438.6408485
-39000,0,0,0.877281697,18.81700121,438.6408485
-38000,0,0,0.877281697,18.81700121,438.6408485
-37000,0,0,0.877281697,18.81700121,438.6408485
-36000,0,0,0.877281697,18.81700121,438.6408485
-35000,0,0,0.877281697,18.81700121,438.6408485
-34000,0,0,0.877281697,18.81700121,438.6408485
-33000,0,0,0.877281697,18.81700121,438.6408485
-32000,0,0,0.877281697,18.81700121,438.6408485
-31000,0,0,0.877281697,18.81700121,438.6408485
-30000,0,0,0.877281697,18.81700121,438.6408485
-29000,0,0,0.877281697,18.81700121,438.6408485
-28000,0,0,0.877281697,18.81700121,438.6408485
-27000,0,0,0.877281697,18.81700121,438.6408485
-26000,0,0,0.877281697,18.81700121,438.6408485
-25000,0,0,0.877281697,18.81700121,438.6408485
-24000,0,0,0.877281697,18.81700121,438.6408485
-23000,0,0,0.877281697,18.81700121,438.6408485
-22000,0,0,0.877281697,18.81700121,438.6408485
-21000,0,0,0.877281697,18.81700121,438.6408485
-20000,0,0,0.877281697,18.81700121,438.6408485
-19000,0,0,0.877281697,18.81700121,438.6408485
-18000,0,0,0.877281697,18.81700121,438.6408485
-17000,0,0,0.877281697,18.81700121,438.6408485
-16000,0,0,0.877281697,18.81700121,438.6408485
-15000,0,0,0.877281697,18.81700121,438.6408485
-14000,0,0,0.877281697,18.81700121,438.6408485
-13000,0,0,0.877281697,18.81700121,438.6408485
-12000,0,0,0.877281697,18.81700121,438.6408485
-11000,0,0,0.877281697,18.81700121,438.6408485
-60000,1,0,1.128077489,5.482123044,564.0387445
-59000,1,0,1.128077489,5.482123044,564.0387445
-58000,1,0,1.128077489,5.482123044,564.0387445
-57000,1,0,1.128077489,5.482123044,564.0387445
-56000,1,0,1.128077489,5.482123044,564.0387445
-55000,1,0,1.128077489,5.482123044,564.0387445
-54000,1,0,1.128077489,5.482123044,564.0387445
-53000,1,0,1.128077489,5.482123044,564.0387445
-52000,1,0,1.128077489,5.482123044,564.0387445
-51000,1,0,1.128077489,5.482123044,564.0387445
-50000,1,0,1.128077489,5.482123044,564.0387445
-49000,1,0,1.128077489,5.482123044,564.0387445
-48000,1,0,1.128077489,5.482123044,564.0387445
-47000,1,0,1.128077489,5.482123044,564.0387445
-46000,1,0,1.128077489,5.482123044,564.0387445
-45000,1,0,1.128077489,5.482123044,564.0387445
-44000,1,0,1.128077489,5.482123044,564.0387445
-43000,1,0,1.128077489,5.482123044,564.0387445
-42000,1,0,1.128077489,5.482123044,564.0387445
-41000,1,0,1.128077489,5.482123044,564.0387445
-40000,1,0,1.128077489,5.482123044,564.0387445
-39000,1,0,1.128077489,5.482123044,564.0387445
-38000,1,0,1.128077489,5.482123044,564.0387445
-37000,1,0,1.128077489,5.482123044,564.0387445
-36000,1,0,1.128077489,5.482123044,564.0387445
-35000,1,0,1.128077489,5.482123044,564.0387445
-34000,1,0,1.128077489,5.482123044,564.0387445
-33000,1,0,1.128077489,5.482123044,564.0387445
-32000,1,0,1.128077489,5.482123044,564.0387445
-31000,1,0,1.128077489,5.482123044,564.0387445
-30000,1,0,1.128077489,5.482123044,564.0387445
-29000,1,0,1.128077489,5.482123044,564.0387445
-28000,1,0,1.128077489,5.482123044,564.0387445
-27000,1,0,1.128077489,5.482123044,564.0387445
-26000,1,0,1.128077489,5.482123044,564.0387445
-25000,1,0,1.128077489,5.482123044,564.0387445
-24000,1,0,1.128077489,5.482123044,564.0387445
-23000,1,0,1.128077489,5.482123044,564.0387445
-22000,1,0,1.128077489,5.482123044,564.0387445
-21000,1,0,1.128077489,5.482123044,564.0387445
-20000,1,0,1.128077489,5.482123044,564.0387445
-19000,1,0,1.128077489,5.482123044,564.0387445
-18000,1,0,1.128077489,5.482123044,564.0387445
-17000,1,0,1.128077489,5.482123044,564.0387445
-16000,1,0,1.128077489,5.482123044,564.0387445
-15000,1,0,1.128077489,5.482123044,564.0387445
-14000,1,0,1.128077489,5.482123044,564.0387445
-11000,1,0,1.128077489,5.482123044,564.0387445
-12000,1,0,1.128077489,5.482123044,564.0387445
-13000,1,0,1.128077489,5.482123044,564.0387445
-60000,1,1,0,-1.270564075,0
-59000,1,1,0,-1.270564075,0
-58000,1,1,0,-1.270564075,0
-57000,1,1,0,-1.270564075,0
-56000,1,1,0,-1.270564075,0
-55000,1,1,0,-1.270564075,0
-54000,1,1,0,-1.270564075,0
-53000,1,1,0,-1.270564075,0
-52000,1,1,0,-1.270564075,0
-51000,1,1,0,-1.270564075,0
-50000,1,1,0,-1.270564075,0
-49000,1,1,0,-1.270564075,0
-48000,1,1,0,-1.270564075,0
-47000,1,1,0,-1.270564075,0
-46000,1,1,0,-1.270564075,0
-45000,1,1,0,-1.270564075,0
-44000,1,1,0,-1.270564075,0
-43000,1,1,0,-1.270564075,0
-42000,1,1,0,-1.270564075,0
-41000,1,1,0,-1.270564075,0
-40000,1,1,0,-1.270564075,0
-39000,1,1,0,-1.270564075,0
-38000,1,1,0,-1.270564075,0
-37000,1,1,0,-1.270564075,0
-36000,1,1,0,-1.270564075,0
-35000,1,1,0,-1.270564075,0
-34000,1,1,0,-1.270564075,0
-33000,1,1,0,-1.270564075,0
-32000,1,1,0,-1.270564075,0
-31000,1,1,0,-1.270564075,0
-30000,1,1,0,-1.270564075,0
-29000,1,1,0,-1.270564075,0
-28000,1,1,0,-1.270564075,0
-27000,1,1,0,-1.270564075,0
-26000,1,1,0,-1.270564075,0
-25000,1,1,0,-1.270564075,0
-24000,1,1,0,-1.270564075,0
-23000,1,1,0,-1.270564075,0
-22000,1,1,0,-1.270564075,0
-21000,1,1,0,-1.270564075,0
-20000,1,1,0,-1.270564075,0
-19000,1,1,0,-1.270564075,0
-18000,1,1,0,-1.270564075,0
-17000,1,1,0,-1.270564075,0
-16000,1,1,0,-1.270564075,0
-15000,1,1,0,-1.270564075,0
-14000,1,1,0,-1.270564075,0
-11000,1,1,0,-1.270564075,0
-12000,1,1,0,-1.270564075,0
-13000,1,1,0,-1.270564075,0
-10000,0,0,0.926668173,38.6084061,463.3340865
-9000,0,0,0.926668173,38.6084061,463.3340865
-8000,0,0,0.926668173,38.6084061,463.3340865
-8000,1,0,0.327991371,4.712284664,163.9956855
-9000,1,0,0.327991371,4.712284664,163.9956855
-10000,1,0,0.327991371,4.712284664,163.9956855
-8000,1,1,0,-1.270564075,0
-9000,1,1,0,-1.270564075,0
-10000,1,1,0,-1.270564075,0
-7000,0,0,0.866502125,39.34231188,433.2510625
-6000,0,0,0.866502125,39.34231188,433.2510625
-5000,0,0,0.866502125,39.34231188,433.2510625
-5000,1,0,0,-0.242601619,0
-6000,1,0,0,-0.242601619,0
-7000,1,0,0,-0.242601619,0
-5000,1,1,0,-1.270564075,0
-6000,1,1,0,-1.270564075,0
-7000,1,1,0,-1.270564075,0
-4000,0,0,0.806511056,21.00930977,403.255528
-3000,0,0,0.806511056,21.00930977,403.255528
-2000,0,0,0.806511056,21.00930977,403.255528
-2000,1,0,0.958395726,24.21534858,479.197863
-3000,1,0,0.958395726,24.21534858,479.197863
-4000,1,0,0.958395726,24.21534858,479.197863
-2000,1,1,0,-1.270564075,0
-3000,1,1,0,-1.270564075,0
-4000,1,1,0,-1.270564075,0
-1000,0,0,0.621832648,21.93595442,310.916324
0,0,0,0.621832648,21.93595442,310.916324
1000,0,0,0.621832648,21.93595442,310.916324
1000,1,0,0.532234435,14.4858065,266.1172175
0,1,0,0.532234435,14.4858065,266.1172175
-1000,1,0,0.532234435,14.4858065,266.1172175
1000,1,1,0,-1.270564075,0
0,1,1,0,-1.270564075,0
-1000,1,1,0,-1.270564075,0
2000,0,0,0.260463621,2.111010471,130.2318105
3000,0,0,0.260463621,2.111010471,130.2318105
4000,0,0,0.260463621,2.111010471,130.2318105
4000,1,0,-0.141054446,-14.05524172,-70.527223
3000,1,0,-0.141054446,-14.05524172,-70.527223
2000,1,0,-0.141054446,-14.05524172,-70.527223
4000,1,1,0.427562849,13.79684062,213.7814245
3000,1,1,0.427562849,13.79684062,213.7814245
2000,1,1,0.427562849,13.79684062,213.7814245
5000,0,1,-2.827411909,-3.248889943,-1413.705955
6000,0,1,-2.827411909,-3.248889943,-1413.705955
7000,0,1,-2.827411909,-3.248889943,-1413.705955
7000,1,0,-0.183778411,-21.71146302,-91.8892055
6000,1,0,-0.183778411,-21.71146302,-91.8892055
5000,1,0,-0.183778411,-21.71146302,-91.8892055
7000,1,1,0,0.28933045,0
6000,1,1,0,0.28933045,0
5000,1,1,0,0.28933045,0
10000,1,0,-0.234164042,-24.04789095,-117.082021
9000,1,0,-0.234164042,-24.04789095,-117.082021
8000,1,0,-0.234164042,-24.04789095,-117.082021
10000,1,1,0,-0.930529012,0
9000,1,1,0,-0.930529012,0
8000,1,1,0,-0.930529012,0
8000,0,1,-2.827411909,-3.248889943,-1413.705955
9000,0,1,-2.827411909,-3.248889943,-1413.705955
10000,0,1,-2.827411909,-3.248889943,-1413.705955
13000,1,0,-0.063838252,-5.449315354,-31.919126
12000,1,0,-0.063838252,-5.449315354,-31.919126
11000,1,0,-0.063838252,-5.449315354,-31.919126
13000,1,1,0,-0.511955765,0
12000,1,1,0,-0.511955765,0
11000,1,1,0,-0.511955765,0
11000,0,1,-2.827411909,-3.248889943,-1413.705955
12000,0,1,-2.827411909,-3.248889943,-1413.705955
13000,0,1,-2.827411909,-3.248889943,-1413.705955
16000,1,0,-0.128269644,-7.070526423,-64.134822
15000,1,0,-0.128269644,-7.070526423,-64.134822
14000,1,0,-0.128269644,-7.070526423,-64.134822
16000,1,1,-0.259372608,-2.217753104,-129.686304
15000,1,1,-0.259372608,-2.217753104,-129.686304
14000,1,1,-0.259372608,-2.217753104,-129.686304
14000,0,1,-2.827411909,-3.248889943,-1413.705955
15000,0,1,-2.827411909,-3.248889943,-1413.705955
16000,0,1,-2.827411909,-3.248889943,-1413.705955
19000,1,0,0,-1.842175125,0
18000,1,0,0,-1.842175125,0
17000,1,0,0,-1.842175125,0
20000,1,0,0,-1.842175125,0
21000,1,0,0,-1.842175125,0
22000,1,0,0,-1.842175125,0
23000,1,0,0,-1.842175125,0
24000,1,0,0,-1.842175125,0
25000,1,0,0,-1.842175125,0
26000,1,0,0,-1.842175125,0
27000,1,0,0,-1.842175125,0
28000,1,0,0,-1.842175125,0
29000,1,0,0,-1.842175125,0
30000,1,0,0,-1.842175125,0
31000,1,0,0,-1.842175125,0
32000,1,0,0,-1.842175125,0
33000,1,0,0,-1.842175125,0
34000,1,0,0,-1.842175125,0
35000,1,0,0,-1.842175125,0
36000,1,0,0,-1.842175125,0
37000,1,0,0,-1.842175125,0
38000,1,0,0,-1.842175125,0
39000,1,0,0,-1.842175125,0
40000,1,0,0,-1.842175125,0
41000,1,0,0,-1.842175125,0
