VSP_group,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,21963.92956,8784.462078,8186.8903,7534.031857,8875.614709,8198.592044,9139.501763,9484.372539,9666.347294,9642.069288,10195.45286,8570.847305,-0.776293527,-1.239322168
-9000,0,9814.525138,11735.08447,12457.02099,9759.472057,8757.100681,9338.64067,8806.61786,8524.637301,8764.290161,8153.490268,7990.030881,8027.437801,-0.627227136,-4.101118844
-6000,0,11966.99958,10804.50078,10666.51727,10311.02839,10941.49117,9177.9617,8895.945785,9244.516825,8875.407685,8510.349635,8622.457608,8626.954488,-0.58757413,-7.17897361
-3000,0,12584.41004,12232.10511,10578.25792,10475.58245,10462.83681,10754.22859,11182.67157,11653.60685,12280.14933,12821.37507,13566.82775,14170.3644,0.406876987,2.286939252
0,0,10703.60955,9150.757771,9876.73882,11311.67846,12506.23005,14137.57608,15496.8417,16935.34228,17768.17616,18451.9737,19292.79803,19960.9808,2.098357909,14.92362873
-12000,1,,,,,,,,,,,,,2.872140694,16.87387767
-9000,1,,,,,,,,,,,,,2.872140694,16.87387767
-6000,1,,,,,,,,,,,,,2.872140694,16.87387767
-3000,1,,,,,,,,,,,,,2.872140694,16.87387767
0,1,8673.320218,8319.288735,9056.479262,10128.99522,11392.90042,12948.71197,14367.58163,15800.66068,18905.72876,20550.18299,21618.78633,22495.03809,2.872140694,16.87387767
3000,0,22227.93891,23165.33083,24539.42258,26024.1548,27701.32182,29375.42171,30947.31854,32598.11431,34378.91364,35957.306,37153.23148,38252.06084,3.077746151,61.24746143
3000,1,17312.7417,19087.45516,20957.38095,22372.50389,23854.97578,25316.82975,26592.3032,28168.18567,29645.1218,30467.67749,30199.95191,30367.3579,2.522821799,15.47886723
6000,0,37024.98014,38376.87817,39990.0638,41578.89253,43279.62709,45120.89005,46480.182,47544.99232,49063.55302,50478.20784,51530.336,52926.05025,2.925095035,53.73504097
6000,1,31116.13367,32888.22319,35107.2785,36924.70833,38635.54639,40201.43546,41664.02013,43327.39862,45262.78771,46581.34328,47593.49033,49060.36912,3.267699202,45.54232306
9000,0,50325.74834,51952.76689,53738.33174,55362.66904,57275.30096,59239.05497,61074.78341,62582.77022,63790.55882,64947.77277,65787.10809,66964.93328,3.118208235,29.11339168
9000,1,44613.53208,46137.3971,47770.25745,49524.89847,51139.51907,52829.93607,54476.08546,56226.89878,57999.26013,59164.42852,59962.25422,61959.94173,3.176737864,57.30931526
12000,0,63889.53477,65242.58255,66818.46974,68182.29591,69760.54814,71195.01527,72322.18728,73485.7397,74485.37918,75506.4117,76463.47248,77546.45159,2.488446512,35.9097343
12000,1,58898.47555,60122.97427,61585.12178,63932.63354,65395.73482,66906.94575,68249.30142,69611.59761,70971.05405,72791.49726,74874.9298,76553.74362,3.179036528,59.33071029
15000,0,74001.44431,75746.8885,77241.16535,79018.80825,79976.5823,82015.04297,83651.44948,85204.77559,86133.27157,86902.3159,87408.32756,87863.42805,2.643049857,19.45376232
15000,1,74429.6925,75542.32047,76949.76182,78176.97096,80282.48775,81524.46539,82610.02582,83557.92136,85511.01758,86077.99309,87502.64716,87452.88929,2.534110616,28.13187495
18000,0,88691.65365,89941.21032,91319.49091,91884.25247,93222.73339,93498.40275,94593.24507,95218.6205,95772.19043,96563.39739,97168.46143,97652.21981,1.586300885,23.51825795
18000,1,86632.23982,88031.07216,88911.13238,90165.7079,91334.09526,92767.35785,94334.63662,96944.53687,98028.56515,99109.3068,100091.038,102593.6234,2.889615544,33.73960954
