VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
-60000,0,0,-1.239322168,0
-59000,0,0,-1.239322168,0
-58000,0,0,-1.239322168,0
-57000,0,0,-1.239322168,0
-56000,0,0,-1.239322168,0
-55000,0,0,-1.239322168,0
-54000,0,0,-1.239322168,0
-53000,0,0,-1.239322168,0
-52000,0,0,-1.239322168,0
-51000,0,0,-1.239322168,0
-50000,0,0,-1.239322168,0
-49000,0,0,-1.239322168,0
-48000,0,0,-1.239322168,0
-47000,0,0,-1.239322168,0
-46000,0,0,-1.239322168,0
-45000,0,0,-1.239322168,0
-44000,0,0,-1.239322168,0
-43000,0,0,-1.239322168,0
-42000,0,0,-1.239322168,0
-41000,0,0,-1.239322168,0
-40000,0,0,-1.239322168,0
-39000,0,0,-1.239322168,0
-38000,0,0,-1.239322168,0
-37000,0,0,-1.239322168,0
-36000,0,0,-1.239322168,0
-35000,0,0,-1.239322168,0
-34000,0,0,-1.239322168,0
-33000,0,0,-1.239322168,0
-32000,0,0,-1.239322168,0
-31000,0,0,-1.239322168,0
-30000,0,0,-1.239322168,0
-29000,0,0,-1.239322168,0
-28000,0,0,-1.239322168,0
-27000,0,0,-1.239322168,0
-26000,0,0,-1.239322168,0
-25000,0,0,-1.239322168,0
-24000,0,0,-1.239322168,0
-23000,0,0,-1.239322168,0
-22000,0,0,-1.239322168,0
-21000,0,0,-1.239322168,0
-20000,0,0,-1.239322168,0
-19000,0,0,-1.239322168,0
-18000,0,0,-1.239322168,0
-17000,0,0,-1.239322168,0
-16000,0,0,-1.239322168,0
-15000,0,0,-1.239322168,0
-14000,0,0,-1.239322168,0
-11000,0,0,-1.239322168,0
-12000,0,0,-1.239322168,0
-13000,0,0,-1.239322168,0
-60000,1,2.872140694,16.87387767,1436.070347
-59000,1,2.872140694,16.87387767,1436.070347
-58000,1,2.872140694,16.87387767,1436.070347
-57000,1,2.872140694,16.87387767,1436.070347
-56000,1,2.872140694,16.87387767,1436.070347
-55000,1,2.872140694,16.87387767,1436.070347
-54000,1,2.872140694,16.87387767,1436.070347
-53000,1,2.872140694,16.87387767,1436.070347
-52000,1,2.872140694,16.87387767,1436.070347
-51000,1,2.872140694,16.87387767,1436.070347
-50000,1,2.872140694,16.87387767,1436.070347
-49000,1,2.872140694,16.87387767,1436.070347
-48000,1,2.872140694,16.87387767,1436.070347
-47000,1,2.872140694,16.87387767,1436.070347
-46000,1,2.872140694,16.87387767,1436.070347
-45000,1,2.872140694,16.87387767,1436.070347
-44000,1,2.872140694,16.87387767,1436.070347
-43000,1,2.872140694,16.87387767,1436.070347
-42000,1,2.872140694,16.87387767,1436.070347
-41000,1,2.872140694,16.87387767,1436.070347
-40000,1,2.872140694,16.87387767,1436.070347
-39000,1,2.872140694,16.87387767,1436.070347
-38000,1,2.872140694,16.87387767,1436.070347
-37000,1,2.872140694,16.87387767,1436.070347
-36000,1,2.872140694,16.87387767,1436.070347
-35000,1,2.872140694,16.87387767,1436.070347
-34000,1,2.872140694,16.87387767,1436.070347
-33000,1,2.872140694,16.87387767,1436.070347
-32000,1,2.872140694,16.87387767,1436.070347
-31000,1,2.872140694,16.87387767,1436.070347
-30000,1,2.872140694,16.87387767,1436.070347
-29000,1,2.872140694,16.87387767,1436.070347
-28000,1,2.872140694,16.87387767,1436.070347
-27000,1,2.872140694,16.87387767,1436.070347
-26000,1,2.872140694,16.87387767,1436.070347
-25000,1,2.872140694,16.87387767,1436.070347
-24000,1,2.872140694,16.87387767,1436.070347
-23000,1,2.872140694,16.87387767,1436.070347
-22000,1,2.872140694,16.87387767,1436.070347
-21000,1,2.872140694,16.87387767,1436.070347
-20000,1,2.872140694,16.87387767,1436.070347
-19000,1,2.872140694,16.87387767,1436.070347
-18000,1,2.872140694,16.87387767,1436.070347
-17000,1,2.872140694,16.87387767,1436.070347
-16000,1,2.872140694,16.87387767,1436.070347
-15000,1,2.872140694,16.87387767,1436.070347
-14000,1,2.872140694,16.87387767,1436.070347
-11000,1,2.872140694,16.87387767,1436.070347
-12000,1,2.872140694,16.87387767,1436.070347
-13000,1,2.872140694,16.87387767,1436.070347
-8000,0,-0.627227136,-4.101118844,-313.613568
-9000,0,-0.627227136,-4.101118844,-313.613568
