VSP_group,eng_on,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,0,-12954.20341,-12596.68647,-12177.43757,-11805.96016,-11508.17183,-11069.2071,-10572.74063,-10056.32325,-9576.467948,-9103.991896,-8682.940401,-8225.575442,0.872393114,52.95931581
-9000,0,0,-11268.42529,-10787.56654,-10303.64886,-9808.30018,-9325.859713,-8813.354288,-8322.8299,-7832.691135,-7327.463642,-6812.128809,-6278.773694,-5757.790599,1.000076716,231.384761
-12000,1,0,,,,,,,,,,,,,0.789233645,4.323164991
-9000,1,0,-2343.812503,-1871.144672,-1676.533531,-1148.196825,-613.4121059,-75.81247523,465.5212417,1010.03087,1557.602567,1159.723016,-1147.246148,3797.1756,0.789233645,4.323164991
-6000,0,0,-7395.705743,-6898.303603,-6382.841377,-5880.533567,-5370.60402,-4863.627927,-4352.702289,-3823.862133,-3303.747896,-2788.752432,-2272.310383,-1752.483455,1.027294311,511.2388229
-6000,1,0,-3489.639048,-2981.095859,-2655.415064,-2123.168578,741.6751295,1082.524483,1983.499377,4428.386846,5367.995276,11155.33959,11705.41438,12897.39629,3.206490859,11.9150308
-3000,0,0,-3303.553115,-2781.856408,-2243.892496,-1714.590457,-1181.812857,-660.4096106,-136.217774,394.2472012,928.4044416,1465.984943,2008.383567,2542.451447,1.061920969,744.7088115
-3000,0,1,564.0975581,1097.022231,1632.652906,2170.84126,2711.616891,3255.072314,3801.430585,4350.769485,4903.136427,5458.755191,6017.496007,6579.943227,1.093472547,388.2731114
-3000,1,0,-3868.599565,-3546.564358,-4015.727576,-1603.962347,317.7053558,2017.776292,5496.644816,3822.78493,6710.267304,8205.836354,8958.133026,9533.745691,2.804785156,15.2935732
0,0,0,-495.7558419,49.04704528,585.4891648,1116.712161,1655.923927,2194.560312,2742.968424,3293.388028,3844.428157,4399.237474,4947.400661,5500.180712,1.089762959,479.1037966
0,0,1,1235.82382,1771.973181,2314.313973,2838.569853,3377.246753,3922.275125,4468.879861,5021.769196,5577.258048,6134.141287,6693.234424,7250.887467,1.093492696,338.7841602
