,VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
0,-60000,0,0,0.872393114,52.95931581,436.196557
1,-59000,0,0,0.872393114,52.95931581,436.196557
2,-58000,0,0,0.872393114,52.95931581,436.196557
3,-57000,0,0,0.872393114,52.95931581,436.196557
4,-56000,0,0,0.872393114,52.95931581,436.196557
5,-55000,0,0,0.872393114,52.95931581,436.196557
6,-54000,0,0,0.872393114,52.95931581,436.196557
7,-53000,0,0,0.872393114,52.95931581,436.196557
8,-52000,0,0,0.872393114,52.95931581,436.196557
9,-51000,0,0,0.872393114,52.95931581,436.196557
10,-50000,0,0,0.872393114,52.95931581,436.196557
11,-49000,0,0,0.872393114,52.95931581,436.196557
12,-48000,0,0,0.872393114,52.95931581,436.196557
13,-47000,0,0,0.872393114,52.95931581,436.196557
14,-46000,0,0,0.872393114,52.95931581,436.196557
15,-45000,0,0,0.872393114,52.95931581,436.196557
16,-44000,0,0,0.872393114,52.95931581,436.196557
17,-43000,0,0,0.872393114,52.95931581,436.196557
18,-42000,0,0,0.872393114,52.95931581,436.196557
19,-41000,0,0,0.872393114,52.95931581,436.196557
20,-40000,0,0,0.872393114,52.95931581,436.196557
21,-39000,0,0,0.872393114,52.95931581,436.196557
22,-38000,0,0,0.872393114,52.95931581,436.196557
23,-37000,0,0,0.872393114,52.95931581,436.196557
24,-36000,0,0,0.872393114,52.95931581,436.196557
25,-35000,0,0,0.872393114,52.95931581,436.196557
26,-34000,0,0,0.872393114,52.95931581,436.196557
27,-33000,0,0,0.872393114,52.95931581,436.196557
28,-32000,0,0,0.872393114,52.95931581,436.196557
29,-31000,0,0,0.872393114,52.95931581,436.196557
30,-30000,0,0,0.872393114,52.95931581,436.196557
31,-29000,0,0,0.872393114,52.95931581,436.196557
32,-28000,0,0,0.872393114,52.95931581,436.196557
33,-27000,0,0,0.872393114,52.95931581,436.196557
34,-26000,0,0,0.872393114,52.95931581,436.196557
35,-25000,0,0,0.872393114,52.95931581,436.196557
36,-24000,0,0,0.872393114,52.95931581,436.196557
37,-23000,0,0,0.872393114,52.95931581,436.196557
38,-22000,0,0,0.872393114,52.95931581,436.196557
39,-21000,0,0,0.872393114,52.95931581,436.196557
40,-20000,0,0,0.872393114,52.95931581,436.196557
41,-19000,0,0,0.872393114,52.95931581,436.196557
42,-18000,0,0,0.872393114,52.95931581,436.196557
43,-17000,0,0,0.872393114,52.95931581,436.196557
44,-16000,0,0,0.872393114,52.95931581,436.196557
45,-15000,0,0,0.872393114,52.95931581,436.196557
46,-14000,0,0,0.872393114,52.95931581,436.196557
49,-13000,0,0,0.872393114,52.95931581,436.196557
48,-12000,0,0,0.872393114,52.95931581,436.196557
47,-11000,0,0,0.872393114,52.95931581,436.196557
50,-60000,1,0,0.789233645,4.323164991,394.6168225
51,-59000,1,0,0.789233645,4.323164991,394.6168225
