VSP_group,mot_control,HVAC_0.5KW,HVAC_1KW,HVAC_1.5KW,HVAC_2KW,HVAC_2.5KW,HVAC_3KW,HVAC_3.5KW,HVAC_4KW,HVAC_4.5KW,HVAC_5KW,HVAC_5.5KW,HVAC_6KW,HVAC_adjust_rate,t_value
-12000,0,,,,,,,,,,,,,0.480153996,2.526874933
-9000,0,12463.20928,12416.23898,13067.58387,13081.65408,13087.76967,13093.28266,13096.41973,13098.57338,13100.11535,14589.89996,12700.90694,17491.93133,0.480153996,2.526874933
-6000,0,11399.55338,11383.7148,11783.02454,11792.02068,14047.30715,15217.44697,15226.89056,17268.26773,18002.10631,20200.53761,19139.21037,21671.70137,1.975093938,14.28319333
-3000,0,29394.29998,29221.61999,27430.05741,24887.78723,22556.55685,23720.12487,22206.54585,30282.64168,28528.63716,26840.36772,24954.67858,25929.50824,-0.285133458,-0.606719979
0,0,24861.12181,24797.23508,22687.89878,22481.03924,23196.25911,26281.03449,27063.56267,29797.00648,32034.25503,33776.2487,33270.30659,34558.06809,2.299953506,6.865559521
3000,0,36060.5709,36008.5623,36819.00419,31658.59668,32853.95627,37534.1546,39581.12701,42605.23507,44607.97911,46262.80387,44722.63052,45232.9458,2.387951446,5.096306825
-12000,1,,,,,,,,,,,,,0,-2.473852399
-9000,1,,,,,,,,,,,,,0,-2.473852399
-6000,1,,,,,,,,,,,,,0,-2.473852399
-3000,1,,,,,,,,,,,,,0,-2.473852399
0,1,,,,,,,,,,,,,0,-2.473852399
3000,1,20491.39891,20513.5338,17808.93817,18911.18648,16759.95109,18456.03552,16410.49402,16413.17848,17819.86436,14359.20368,18868.57321,16879.52442,0,-2.473852399
6000,0,40930.70618,40908.02016,39553.94344,38843.71215,40133.79578,43743.92969,47264.49818,53684.49067,56275.87341,58621.01544,58392.01242,60108.11071,4.42734506,8.250962116
6000,1,21375.06274,21493.72432,19241.44605,13876.16775,11068.72255,15192.82798,18843.84269,14638.20071,19573.25925,15880.74206,19551.47259,19830.20073,-0.105970413,-0.182952264
9000,0,54167.98144,54596.01228,50808.96562,52339.44696,56186.11134,56190.59675,58530.80998,64959.19658,66722.36809,68341.3262,69088.61883,70749.60477,3.749174226,8.354415522
9000,1,62699.85803,59892.67144,36021.07307,37842.13499,53140.90808,53047.78792,54690.46206,54262.88001,40262.18701,50480.5582,52589.69889,43666.71803,-1.096266063,-0.751656731
12000,0,66464.76966,67232.78695,65330.23024,64611.09952,68699.51015,70211.13696,70976.20347,73073.92707,72188.58604,75614.40423,77139.26491,78439.16617,2.410081335,8.991486334
12000,1,88643.73346,85606.01455,60065.17608,46363.03782,69099.73344,69104.1794,66703.96593,67230.5817,61584.49099,67842.51672,64433.15273,63690.98416,-2.395070049,-1.343171079
15000,0,75562.68911,75511.30641,76246.27703,77308.44537,78055.68033,78730.51739,79096.20664,79637.258,78587.21986,81363.85503,82845.21568,83512.4118,1.404052265,10.80081248
15000,1,86698.03006,86482.16772,74126.90451,65552.76123,76679.00388,76240.12624,76241.83606,74512.46403,70865.31139,76120.78161,77964.42963,74729.78279,-1.218799875,-1.294248457
18000,0,80442.23711,80691.00291,86606.6134,84436.36719,83922.62643,84454.9497,84495.34457,84020.31784,84063.53794,84184.99272,84261.73678,84525.16858,0.409558246,1.544520443
18000,1,85345.28371,86172.5195,72549.96052,72704.66022,72606.82144,72828.3945,73007.83133,70951.19545,67670.29731,74092.17273,76192.59888,76299.45594,-1.457952176,-1.72432068
