,VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
0,-60000,0,0.480153996,2.526874933,240.076998
1,-59000,0,0.480153996,2.526874933,240.076998
2,-58000,0,0.480153996,2.526874933,240.076998
3,-57000,0,0.480153996,2.526874933,240.076998
4,-56000,0,0.480153996,2.526874933,240.076998
5,-55000,0,0.480153996,2.526874933,240.076998
6,-54000,0,0.480153996,2.526874933,240.076998
7,-53000,0,0.480153996,2.526874933,240.076998
8,-52000,0,0.480153996,2.526874933,240.076998
9,-51000,0,0.480153996,2.526874933,240.076998
10,-50000,0,0.480153996,2.526874933,240.076998
11,-49000,0,0.480153996,2.526874933,240.076998
12,-48000,0,0.480153996,2.526874933,240.076998
13,-47000,0,0.480153996,2.526874933,240.076998
14,-46000,0,0.480153996,2.526874933,240.076998
15,-45000,0,0.480153996,2.526874933,240.076998
16,-44000,0,0.480153996,2.526874933,240.076998
17,-43000,0,0.480153996,2.526874933,240.076998
18,-42000,0,0.480153996,2.526874933,240.076998
19,-41000,0,0.480153996,2.526874933,240.076998
20,-40000,0,0.480153996,2.526874933,240.076998
21,-39000,0,0.480153996,2.526874933,240.076998
22,-38000,0,0.480153996,2.526874933,240.076998
23,-37000,0,0.480153996,2.526874933,240.076998
24,-36000,0,0.480153996,2.526874933,240.076998
25,-35000,0,0.480153996,2.526874933,240.076998
26,-34000,0,0.480153996,2.526874933,240.076998
27,-33000,0,0.480153996,2.526874933,240.076998
28,-32000,0,0.480153996,2.526874933,240.076998
29,-31000,0,0.480153996,2.526874933,240.076998
30,-30000,0,0.480153996,2.526874933,240.076998
31,-29000,0,0.480153996,2.526874933,240.076998
32,-28000,0,0.480153996,2.526874933,240.076998
33,-27000,0,0.480153996,2.526874933,240.076998
34,-26000,0,0.480153996,2.526874933,240.076998
35,-25000,0,0.480153996,2.526874933,240.076998
36,-24000,0,0.480153996,2.526874933,240.076998
37,-23000,0,0.480153996,2.526874933,240.076998
38,-22000,0,0.480153996,2.526874933,240.076998
39,-21000,0,0.480153996,2.526874933,240.076998
40,-20000,0,0.480153996,2.526874933,240.076998
41,-19000,0,0.480153996,2.526874933,240.076998
42,-18000,0,0.480153996,2.526874933,240.076998
43,-17000,0,0.480153996,2.526874933,240.076998
44,-16000,0,0.480153996,2.526874933,240.076998
45,-15000,0,0.480153996,2.526874933,240.076998
46,-14000,0,0.480153996,2.526874933,240.076998
47,-11000,0,0.480153996,2.526874933,240.076998
48,-12000,0,0.480153996,2.526874933,240.076998
49,-13000,0,0.480153996,2.526874933,240.076998
50,-60000,1,0.0,-2.473852399,0.0
51,-59000,1,0.0,-2.473852399,0.0
52,-58000,1,0.0,-2.473852399,0.0
53,-57000,1,0.0,-2.473852399,0.0
54,-56000,1,0.0,-2.473852399,0.0
55,-55000,1,0.0,-2.473852399,0.0
56,-54000,1,0.0,-2.473852399,0.0
57,-53000,1,0.0,-2.473852399,0.0
58,-52000,1,0.0,-2.473852399,0.0
59,-51000,1,0.0,-2.473852399,0.0
60,-50000,1,0.0,-2.473852399,0.0
61,-49000,1,0.0,-2.473852399,0.0
62,-48000,1,0.0,-2.473852399,0.0
63,-47000,1,0.0,-2.473852399,0.0
64,-46000,1,0.0,-2.473852399,0.0
65,-45000,1,0.0,-2.473852399,0.0
66,-44000,1,0.0,-2.473852399,0.0
67,-43000,1,0.0,-2.473852399,0.0
68,-42000,1,0.0,-2.473852399,0.0
69,-41000,1,0.0,-2.473852399,0.0
70,-40000,1,0.0,-2.473852399,0.0
71,-39000,1,0.0,-2.473852399,0.0
72,-38000,1,0.0,-2.473852399,0.0
73,-37000,1,0.0,-2.473852399,0.0
74,-36000,1,0.0,-2.473852399,0.0
75,-35000,1,0.0,-2.473852399,0.0
76,-34000,1,0.0,-2.473852399,0.0
77,-33000,1,0.0,-2.473852399,0.0
78,-32000,1,0.0,-2.473852399,0.0
79,-31000,1,0.0,-2.473852399,0.0
80,-30000,1,0.0,-2.473852399,0.0
81,-29000,1,0.0,-2.473852399,0.0
82,-28000,1,0.0,-2.473852399,0.0
