VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-60000,0,0,1.00415381,295.5797464,502.076905
-59000,0,0,1.00415381,295.5797464,502.076905
-58000,0,0,1.00415381,295.5797464,502.076905
-57000,0,0,1.00415381,295.5797464,502.076905
-56000,0,0,1.00415381,295.5797464,502.076905
-55000,0,0,1.00415381,295.5797464,502.076905
-54000,0,0,1.00415381,295.5797464,502.076905
-53000,0,0,1.00415381,295.5797464,502.076905
-52000,0,0,1.00415381,295.5797464,502.076905
-51000,0,0,1.00415381,295.5797464,502.076905
-50000,0,0,1.00415381,295.5797464,502.076905
-49000,0,0,1.00415381,295.5797464,502.076905
-48000,0,0,1.00415381,295.5797464,502.076905
-47000,0,0,1.00415381,295.5797464,502.076905
-46000,0,0,1.00415381,295.5797464,502.076905
-45000,0,0,1.00415381,295.5797464,502.076905
-44000,0,0,1.00415381,295.5797464,502.076905
-43000,0,0,1.00415381,295.5797464,502.076905
-42000,0,0,1.00415381,295.5797464,502.076905
-41000,0,0,1.00415381,295.5797464,502.076905
-40000,0,0,1.00415381,295.5797464,502.076905
-39000,0,0,1.00415381,295.5797464,502.076905
-38000,0,0,1.00415381,295.5797464,502.076905
-37000,0,0,1.00415381,295.5797464,502.076905
-36000,0,0,1.00415381,295.5797464,502.076905
-35000,0,0,1.00415381,295.5797464,502.076905
-34000,0,0,1.00415381,295.5797464,502.076905
-33000,0,0,1.00415381,295.5797464,502.076905
-32000,0,0,1.00415381,295.5797464,502.076905
-31000,0,0,1.00415381,295.5797464,502.076905
-30000,0,0,1.00415381,295.5797464,502.076905
-29000,0,0,1.00415381,295.5797464,502.076905
-28000,0,0,1.00415381,295.5797464,502.076905
-27000,0,0,1.00415381,295.5797464,502.076905
-26000,0,0,1.00415381,295.5797464,502.076905
-25000,0,0,1.00415381,295.5797464,502.076905
-24000,0,0,1.00415381,295.5797464,502.076905
-23000,0,0,1.00415381,295.5797464,502.076905
-22000,0,0,1.00415381,295.5797464,502.076905
-21000,0,0,1.00415381,295.5797464,502.076905
-20000,0,0,1.00415381,295.5797464,502.076905
-19000,0,0,1.00415381,295.5797464,502.076905
-18000,0,0,1.00415381,295.5797464,502.076905
-17000,0,0,1.00415381,295.5797464,502.076905
-16000,0,0,1.00415381,295.5797464,502.076905
-15000,0,0,1.00415381,295.5797464,502.076905
-14000,0,0,1.00415381,295.5797464,502.076905
-13000,0,0,1.00415381,295.5797464,502.076905
-12000,0,0,1.00415381,295.5797464,502.076905
-11000,0,0,1.00415381,295.5797464,502.076905
-60000,1,1,0.598350349,7.657621935,299.1751745
-59000,1,1,0.598350349,7.657621935,299.1751745
-58000,1,1,0.598350349,7.657621935,299.1751745
-57000,1,1,0.598350349,7.657621935,299.1751745
-56000,1,1,0.598350349,7.657621935,299.1751745
-55000,1,1,0.598350349,7.657621935,299.1751745
-54000,1,1,0.598350349,7.657621935,299.1751745
-53000,1,1,0.598350349,7.657621935,299.1751745
-52000,1,1,0.598350349,7.657621935,299.1751745
-51000,1,1,0.598350349,7.657621935,299.1751745
-50000,1,1,0.598350349,7.657621935,299.1751745
-49000,1,1,0.598350349,7.657621935,299.1751745
-48000,1,1,0.598350349,7.657621935,299.1751745
-47000,1,1,0.598350349,7.657621935,299.1751745
