,VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
0,-60000,1,1.787510079,6.915698656,893.7550395
1,-59000,1,1.787510079,6.915698656,893.7550395
2,-58000,1,1.787510079,6.915698656,893.7550395
3,-57000,1,1.787510079,6.915698656,893.7550395
4,-56000,1,1.787510079,6.915698656,893.7550395
5,-55000,1,1.787510079,6.915698656,893.7550395
6,-54000,1,1.787510079,6.915698656,893.7550395
7,-53000,1,1.787510079,6.915698656,893.7550395
8,-52000,1,1.787510079,6.915698656,893.7550395
9,-51000,1,1.787510079,6.915698656,893.7550395
10,-50000,1,1.787510079,6.915698656,893.7550395
11,-49000,1,1.787510079,6.915698656,893.7550395
12,-48000,1,1.787510079,6.915698656,893.7550395
13,-47000,1,1.787510079,6.915698656,893.7550395
14,-46000,1,1.787510079,6.915698656,893.7550395
15,-45000,1,1.787510079,6.915698656,893.7550395
16,-44000,1,1.787510079,6.915698656,893.7550395
17,-43000,1,1.787510079,6.915698656,893.7550395
18,-42000,1,1.787510079,6.915698656,893.7550395
19,-41000,1,1.787510079,6.915698656,893.7550395
20,-40000,1,1.787510079,6.915698656,893.7550395
21,-39000,1,1.787510079,6.915698656,893.7550395
22,-38000,1,1.787510079,6.915698656,893.7550395
23,-37000,1,1.787510079,6.915698656,893.7550395
24,-36000,1,1.787510079,6.915698656,893.7550395
25,-35000,1,1.787510079,6.915698656,893.7550395
26,-34000,1,1.787510079,6.915698656,893.7550395
27,-33000,1,1.787510079,6.915698656,893.7550395
28,-32000,1,1.787510079,6.915698656,893.7550395
29,-31000,1,1.787510079,6.915698656,893.7550395
30,-30000,1,1.787510079,6.915698656,893.7550395
31,-29000,1,1.787510079,6.915698656,893.7550395
32,-28000,1,1.787510079,6.915698656,893.7550395
33,-27000,1,1.787510079,6.915698656,893.7550395
34,-26000,1,1.787510079,6.915698656,893.7550395
35,-25000,1,1.787510079,6.915698656,893.7550395
36,-24000,1,1.787510079,6.915698656,893.7550395
37,-23000,1,1.787510079,6.915698656,893.7550395
38,-22000,1,1.787510079,6.915698656,893.7550395
39,-21000,1,1.787510079,6.915698656,893.7550395
40,-20000,1,1.787510079,6.915698656,893.7550395
41,-19000,1,1.787510079,6.915698656,893.7550395
42,-18000,1,1.787510079,6.915698656,893.7550395
43,-17000,1,1.787510079,6.915698656,893.7550395
44,-16000,1,1.787510079,6.915698656,893.7550395
45,-15000,1,1.787510079,6.915698656,893.7550395
46,-14000,1,1.787510079,6.915698656,893.7550395
47,-11000,1,1.787510079,6.915698656,893.7550395
48,-12000,1,1.787510079,6.915698656,893.7550395
49,-13000,1,1.787510079,6.915698656,893.7550395
50,-60000,0,-0.390210783,-2.561008746,-195.1053915
51,-59000,0,-0.390210783,-2.561008746,-195.1053915
52,-58000,0,-0.390210783,-2.561008746,-195.1053915
53,-57000,0,-0.390210783,-2.561008746,-195.1053915
54,-56000,0,-0.390210783,-2.561008746,-195.1053915
55,-55000,0,-0.390210783,-2.561008746,-195.1053915
56,-54000,0,-0.390210783,-2.561008746,-195.1053915
57,-53000,0,-0.390210783,-2.561008746,-195.1053915
58,-52000,0,-0.390210783,-2.561008746,-195.1053915
59,-51000,0,-0.390210783,-2.561008746,-195.1053915
60,-50000,0,-0.390210783,-2.561008746,-195.1053915
61,-49000,0,-0.390210783,-2.561008746,-195.1053915
62,-48000,0,-0.390210783,-2.561008746,-195.1053915
63,-47000,0,-0.390210783,-2.561008746,-195.1053915
64,-46000,0,-0.390210783,-2.561008746,-195.1053915
65,-45000,0,-0.390210783,-2.561008746,-195.1053915
66,-44000,0,-0.390210783,-2.561008746,-195.1053915
67,-43000,0,-0.390210783,-2.561008746,-195.1053915
68,-42000,0,-0.390210783,-2.561008746,-195.1053915
69,-41000,0,-0.390210783,-2.561008746,-195.1053915
70,-40000,0,-0.390210783,-2.561008746,-195.1053915
71,-39000,0,-0.390210783,-2.561008746,-195.1053915
72,-38000,0,-0.390210783,-2.561008746,-195.1053915
73,-37000,0,-0.390210783,-2.561008746,-195.1053915
74,-36000,0,-0.390210783,-2.561008746,-195.1053915
75,-35000,0,-0.390210783,-2.561008746,-195.1053915
76,-34000,0,-0.390210783,-2.561008746,-195.1053915
77,-33000,0,-0.390210783,-2.561008746,-195.1053915
78,-32000,0,-0.390210783,-2.561008746,-195.1053915
79,-31000,0,-0.390210783,-2.561008746,-195.1053915
80,-30000,0,-0.390210783,-2.561008746,-195.1053915
81,-29000,0,-0.390210783,-2.561008746,-195.1053915
82,-28000,0,-0.390210783,-2.561008746,-195.1053915
83,-27000,0,-0.390210783,-2.561008746,-195.1053915
84,-26000,0,-0.390210783,-2.561008746,-195.1053915
85,-25000,0,-0.390210783,-2.561008746,-195.1053915
86,-24000,0,-0.390210783,-2.561008746,-195.1053915
87,-23000,0,-0.390210783,-2.561008746,-195.1053915
88,-22000,0,-0.390210783,-2.561008746,-195.1053915
89,-21000,0,-0.390210783,-2.561008746,-195.1053915
90,-20000,0,-0.390210783,-2.561008746,-195.1053915
