VSP_group,VSP_kw
-12000,-60000
-12000,-59000
-12000,-58000
-12000,-57000
-12000,-56000
-12000,-55000
-12000,-54000
-12000,-53000
-12000,-52000
-12000,-51000
-12000,-50000
-12000,-49000
-12000,-48000
-12000,-47000
-12000,-46000
-12000,-45000
-12000,-44000
-12000,-43000
-12000,-42000
-12000,-41000
-12000,-40000
-12000,-39000
-12000,-38000
-12000,-37000
-12000,-36000
-12000,-35000
-12000,-34000
-12000,-33000
-12000,-32000
-12000,-31000
-12000,-30000
-12000,-29000
-12000,-28000
-12000,-27000
-12000,-26000
-12000,-25000
-12000,-24000
-12000,-23000
-12000,-22000
-12000,-21000
-12000,-20000
-12000,-19000
-12000,-18000
-12000,-17000
-12000,-16000
-12000,-15000
-12000,-14000
-12000,-11000
-12000,-12000
-12000,-13000
-9000,-8000
-9000,-9000
-9000,-10000
-6000,-5000
-6000,-6000
-6000,-7000
-3000,-2000
-3000,-3000
-3000,-4000
0,1000
0,0
0,-1000
3000,4000
3000,3000
3000,2000
6000,7000
6000,6000
6000,5000
9000,10000
9000,9000
9000,8000
12000,13000
12000,12000
12000,11000
15000,16000
15000,15000
15000,14000
18000,19000
18000,18000
18000,17000
18000,20000
18000,21000
18000,22000
18000,23000
18000,24000
18000,25000
18000,26000
18000,27000
18000,28000
18000,29000
18000,30000
18000,31000
18000,32000
18000,33000
18000,34000
18000,35000
18000,36000
18000,37000
18000,38000
18000,39000
18000,40000
18000,41000
18000,42000
18000,43000
18000,44000
18000,45000
18000,46000
18000,47000
18000,48000
18000,49000
18000,50000
18000,51000
18000,52000
18000,53000
18000,54000
18000,55000
18000,56000
18000,57000
18000,58000
18000,59000
18000,60000
